"","x"
"1",0.0838
"2",0.0565
"3",0.0411
"4",0.0355
"5",0.0304
"6",0.0278
"7",0.0268
"8",0.0252
"9",0.025
"10",0.0243
"11",0.0217
"12",0.0215
"13",0.0201
"14",0.0192
"15",0.0191
"16",0.0149
"17",0.0124
"18",0.0124
"19",0.0116
"20",0.0114
"21",0.0109
"22",0.0109
"23",0.0107
"24",0.0104
"25",0.0103
"26",0.0097
"27",0.0092
"28",0.0086
"29",0.0085
"30",0.0083
"31",0.0081
"32",0.008
"33",0.0079
"34",0.0076
"35",0.0074
"36",0.0074
"37",0.0069
"38",0.0068
"39",0.0067
"40",0.0066
"41",0.0065
"42",0.0059
"43",0.0059
"44",0.0056
"45",0.0056
"46",0.0052
"47",0.0052
"48",0.0052
"49",0.0048
"50",0.0048
"51",0.0046
"52",0.0046
"53",0.0045
"54",0.0045
"55",0.0044
"56",0.0041
"57",0.004
"58",0.004
"59",0.0039
"60",0.0039
"61",0.0033
"62",0.0033
"63",0.0031
"64",0.0031
"65",0.003
"66",0.003
"67",0.003
"68",0.0029
"69",0.0029
"70",0.0028
"71",0.0028
"72",0.0027
"73",0.0027
"74",0.0027
"75",0.0027
"76",0.0026
"77",0.0025
"78",0.0025
"79",0.0025
"80",0.0025
"81",0.0024
"82",0.0024
"83",0.0024
"84",0.0023
"85",0.0023
"86",0.0022
"87",0.0022
"88",0.0022
"89",0.0022
"90",0.0021
"91",0.0021
"92",0.002
"93",0.002
"94",0.002
"95",0.0019
"96",0.0019
"97",0.0018
"98",0.0018
"99",0.0018
"100",0.0017
"101",0.0017
"102",0.0017
"103",0.0016
"104",0.0016
"105",0.0016
"106",0.0016
"107",0.0015
"108",0.0015
"109",0.0015
"110",0.0015
"111",0.0015
"112",0.0014
"113",0.0014
"114",0.0014
"115",0.0014
"116",0.0014
"117",0.0013
"118",0.0013
"119",0.0013
"120",0.0013
"121",0.0013
"122",0.0013
"123",0.0013
"124",0.0013
"125",0.0013
"126",0.0013
"127",0.0012
"128",0.0012
"129",0.0012
"130",0.0012
"131",0.0012
"132",0.0011
"133",0.0011
"134",0.0011
"135",0.0011
"136",0.0011
"137",0.001
"138",0.001
"139",0.001
"140",0.001
"141",0.001
"142",0.001
"143",9e-04
"144",9e-04
"145",9e-04
"146",8e-04
"147",8e-04
"148",8e-04
"149",8e-04
"150",8e-04
"151",7e-04
"152",7e-04
"153",7e-04
"154",7e-04
"155",7e-04
"156",7e-04
"157",6e-04
"158",6e-04
"159",6e-04
"160",6e-04
"161",6e-04
"162",6e-04
"163",6e-04
"164",6e-04
"165",6e-04
"166",5e-04
"167",5e-04
"168",5e-04
"169",5e-04
"170",5e-04
"171",5e-04
"172",4e-04
"173",4e-04
"174",4e-04
"175",4e-04
"176",4e-04
"177",4e-04
"178",4e-04
"179",4e-04
"180",4e-04
"181",4e-04
"182",3e-04
"183",3e-04
"184",3e-04
"185",3e-04
"186",3e-04
"187",3e-04
"188",3e-04
"189",3e-04
"190",3e-04
"191",3e-04
"192",3e-04
"193",3e-04
"194",3e-04
"195",3e-04
"196",3e-04
"197",3e-04
"198",3e-04
"199",3e-04
"200",2e-04
"201",2e-04
"202",2e-04
"203",2e-04
"204",2e-04
"205",2e-04
"206",2e-04
"207",2e-04
"208",2e-04
"209",2e-04
"210",2e-04
"211",2e-04
"212",2e-04
"213",2e-04
"214",2e-04
"215",2e-04
"216",2e-04
"217",2e-04
"218",2e-04
"219",2e-04
"220",2e-04
"221",2e-04
"222",2e-04
"223",2e-04
"224",1e-04
"225",1e-04
"226",1e-04
"227",1e-04
"228",1e-04
"229",1e-04
"230",1e-04
"231",1e-04
"232",1e-04
"233",1e-04
"234",1e-04
"235",1e-04
"236",1e-04
"237",1e-04
"238",1e-04
"239",1e-04
"240",1e-04
"241",1e-04
"242",1e-04
"243",1e-04
"244",1e-04
"245",1e-04
"246",1e-04
"247",1e-04
"248",1e-04
"249",1e-04
"250",1e-04
"251",1e-04
"252",1e-04
"253",1e-04
"254",1e-04
"255",1e-04
"256",1e-04
"257",1e-04
"258",1e-04
"259",1e-04
"260",1e-04
"261",1e-04
"262",1e-04
"263",1e-04
"264",1e-04
"265",1e-04
"266",1e-04
"267",1e-04
"268",1e-04
"269",1e-04
