species,group,group2
Eurasian Collared-Dove,other,NA
White-winged Dove,other,NA
Mourning Dove,other,NA
Ruby-throated Hummingbird,other,NA
Inca Dove,other,NA
Common Nighthawk,other,NA
Yellow-billed Cuckoo,other,NA
Ruby-crowned Kinglet,other,NA
Lesser Nighthawk,other,NA
Ladder-backed Woodpecker,other,NA
Common Ground Dove,other,NA
Chuck-will's-widow,other,NA
Northern Bobwhite,other,NA
Black-chinned Hummingbird,other,NA
Green Kingfisher,other,NA
Yellow-bellied Sapsucker,other,NA
Golden-fronted Woodpecker,other,NA
Northern Flicker,other,NA
Wild Turkey,other,NA
Black-billed Cuckoo,other,NA
Buff-bellied Hummingbird,other,NA
Eastern Whip-poor-will,other,NA
Common Pauraque,other,NA
Anna's Hummingbird,other,NA
Downy Woodpecker,other,NA
Rufous Hummingbird,other,NA
Broad-tailed Hummingbird,other,NA
Boat-tailed Grackle,other,NA
Green Jay,other,NA
White-tipped Dove,other,NA
Common Grackle,other,NA
Turkey Vulture,raptors,NA
Osprey,raptors,NA
Mississippi Kite,raptors,NA
Northern Harrier,raptors,NA
White-tailed Hawk,raptors,NA
Red-tailed Hawk,raptors,NA
Belted Kingfisher,raptors,NA
Crested Caracara,raptors,NA
American Kestrel,raptors,NA
Peregrine Falcon,raptors,NA
Aplomado Falcon,raptors,NA
Merlin,raptors,NA
White-tailed Kite,raptors,NA
Cooper's Hawk,raptors,NA
Black Vulture,raptors,NA
Barn Owl,raptors,NA
Burrowing Owl,raptors,NA
Harris's Hawk,raptors,NA
Sharp-shinned Hawk,raptors,NA
Red-shouldered Hawk,raptors,NA
Swainson's Hawk,raptors,NA
Swallow-tailed Kite,raptors,NA
Ferruginous Hawk,raptors,NA
Great Horned Owl,raptors,NA
Bald Eagle,raptors,NA
Broad-winged Hawk,raptors,NA
Barred Owl,raptors,NA
Magnificent Frigatebird,seabirds,suliformes
Northern Gannet,seabirds,suliformes
Masked Booby,seabirds,suliformes
Double-crested Cormorant,seabirds,suliformes
Neotropic Cormorant,seabirds,suliformes
American White Pelican,seabirds,pelicans
Brown Pelican,seabirds,pelicans
Brown Booby,seabirds,suliformes
Pomarine Jaeger,seabirds,gulls
Surf Scoter,seabirds,ducks
Harlequin Duck,seabirds,ducks
Black Scoter,seabirds,ducks
Parasitic Jaeger,seabirds,gulls
Trindade Petrel,seabirds,procellariidae
Brown Noddy,seabirds,terns
White-winged Scoter,seabirds,ducks
Red-footed Booby,seabirds,suliformes
Black-necked Stilt,shorebirds,charadrii
American Avocet,shorebirds,charadrii
American Oystercatcher,shorebirds,charadrii
Black-bellied Plover,shorebirds,charadrii
American Golden-Plover,shorebirds,charadrii
Killdeer,shorebirds,charadrii
Semipalmated Plover,shorebirds,charadrii
Wilson's Plover,shorebirds,charadrii
Whimbrel,shorebirds,scolopacidae
Long-billed Curlew,shorebirds,scolopacidae
Marbled Godwit,shorebirds,scolopacidae
Short-billed Dowitcher,shorebirds,scolopacidae
Red-necked Phalarope,shorebirds,scolopacidae
Spotted Sandpiper,shorebirds,scolopacidae
Solitary Sandpiper,shorebirds,scolopacidae
Lesser Yellowlegs,shorebirds,scolopacidae
Willet,shorebirds,scolopacidae
Ruddy Turnstone,shorebirds,charadrii
Red Knot,shorebirds,scolopacidae
Sanderling,shorebirds,scolopacidae
Dunlin,shorebirds,scolopacidae
Least Sandpiper,shorebirds,scolopacidae
Pectoral Sandpiper,shorebirds,scolopacidae
Western Sandpiper,shorebirds,scolopacidae
Semipalmated Sandpiper,shorebirds,scolopacidae
Little Gull,shorebirds,gulls
Bonaparte's Gull,shorebirds,gulls
Laughing Gull,shorebirds,gulls
Franklin's Gull,shorebirds,gulls
Ring-billed Gull,shorebirds,gulls
Herring Gull,shorebirds,gulls
Lesser Black-backed Gull,shorebirds,gulls
Black Skimmer,shorebirds,terns
Least Tern,shorebirds,terns
Gull-billed Tern,shorebirds,terns
Caspian Tern,shorebirds,terns
Black Tern,shorebirds,terns
Forster's Tern,shorebirds,terns
Common Tern,shorebirds,terns
Sandwich Tern,shorebirds,terns
Royal Tern,shorebirds,terns
Piping Plover,shorebirds,charadrii
Long-billed Dowitcher,shorebirds,scolopacidae
Greater Yellowlegs,shorebirds,scolopacidae
Baird's Sandpiper,shorebirds,scolopacidae
Bridled Tern,shorebirds,terns
Snowy Plover,shorebirds,charadrii
Black-legged Kittiwake,shorebirds,gulls
Sooty Tern,shorebirds,terns
Wilson's Phalarope,shorebirds,scolopacidae
California Gull,shorebirds,gulls
Stilt Sandpiper,shorebirds,scolopacidae
White-rumped Sandpiper,shorebirds,scolopacidae
