Site,Seine,Syngnathus scovelli,Mugil cephalus,Lagodon rhomboides,Fundulus similis,Micropogonias undulatus,Ctenogobious boleosoma,Leiostomus xanthurus,Menidia beryllina,Peralichthys albigutta,Citharichthys spilopterus,Sciaenops ocellatus,Fundulus xenicus,Symphurus plagiusa,Erotelis smaragdus,Synodus foetens,Anchoa mitchilli,Syngnathus louisianae,Leptocephalus larvae,Larvae
Bridge,1,7,4,16,2,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge,2,1,0,17,1,22,44,20,5,1,0,0,0,0,0,0,0,0,0,0
Bridge,3,0,0,8,0,25,15,0,1,0,5,4,0,0,0,0,0,0,0,0
Bridge,4,1,1,9,0,0,19,36,0,0,0,5,2,3,0,0,0,0,0,8
Bridge,5,0,0,6,0,7,11,0,0,0,0,3,0,0,1,0,0,0,0,0
Channel,1,0,0,7,9,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel,2,0,0,30,15,32,1,0,34,0,0,0,0,0,0,0,0,0,0,0
Channel,3,2,0,0,70,37,4,0,20,0,0,3,0,1,0,1,0,0,3,0
Channel,4,0,0,51,4,49,4,0,0,0,0,0,0,0,0,0,8,1,0,0
Channel,5,0,0,9,2,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0
