exposure,site,time,cc11
oblique,BB,a,16.33333333
lagoon,BL,a,53.16666667
sheltered,BV,a,13.66666667
exposed,CO,a,31.33333333
sheltered,GR,a,12.33333333
exposed,LT1,a,33.83333333
exposed,LT3,a,29.83333333
lagoon,MB,a,25.5
sheltered,NR,a,12.5
lagoon,PL,a,35.16666667
oblique,PP,a,22.5
sheltered,RE,a,9.5
oblique,SG,a,18.33333333
exposed,WM,a,13.33333333
oblique,BB,b,5.833333333
lagoon,BL,b,39.16666667
sheltered,BV,b,23
exposed,CO,b,10.5
sheltered,GR,b,5.666666667
exposed,LT1,b,17.5
exposed,LT3,b,9.166666667
lagoon,MB,b,12.66666667
sheltered,NR,b,9.166666667
lagoon,PL,b,27
oblique,PP,b,10.33333333
sheltered,RE,b,6.166666667
oblique,SG,b,15.16666667
exposed,WM,b,11
