"site","year","abu.sexs","abu.whit","aca.aura","aca.bloc","aca.duss","aca.gram","aca.line","aca.mata","aca.nans","aca.ncus","aca.nigr","aca.nuda","aca.oliv","aca.pyro","aca.thom","aca.trio","aca.xant","acn.poly","amb.aure","amb.cura","amb.leuc","amp.akin","amp.clar","amp.mela","amp.peri","ana.caer","ana.geog","ana.neog","bal.viri","blp.undu","bod.axil","bod.meso","cen.bico","cen.bisp","cen.vrol","cep.argu","cep.boen","cep.cyan","cep.micr","cep.urod","cet.bico","cha.afas","cha.auri","cha.baro","cha.citr","cha.ephi","cha.klei","cha.line","cha.lunu","cha.mela","cha.mert","cha.pelw","cha.pleb","cha.raff","cha.rain","cha.reti","cha.spec","cha.tlis","cha.ttus","cha.ulie","cha.unim","cha.vaga","che.chlo","che.fasc","che.tril","che.undu","chm.rost","cho.fasc","cho.grap","cho.mono","cho.scho","cho.vitt","chr.alis","chr.lepi","chr.marg","chr.tern","chr.viri","chr.webe","chr.xant","chs.blee","chs.micr","chs.sord","chy.cyan","chy.flav","chy.rex","chy.roll","chy.talb","cor.auyg","cor.batu","cor.chry","cor.gaim","crd.chry","cro.alti","cte.bino","cte.stri","das.arua","das.reti","das.trim","dia.pict","dip.bifa","dis.mela","dis.pers","dis.pros","dis.pseu","epb.insi","epi.cyan","epi.fasc","epi.fusc","epi.macr","epi.macu","epi.merr","epi.ongu","epi.poly","epi.quoy","gna.aure","gom.vari","gym.micr","hal.chlo","hal.hort","hal.marg","hal.mela","hal.nebu","hal.nigr","hal.pros","hal.trim","hem.fasc","hem.melt","hen.acum","hen.chry","hen.mono","hen.vari","hgy.plag","hip.long","hlg.doli","kyp.bigi","kyp.vaig","lab.bico","lab.dimi","lbr.xant","lby.unil","let.atki","let.hara","let.letj","let.nebu","let.obso","let.oliv","let.orna","let.rubr","lut.arge","lut.boha","lut.carp","lut.flma","lut.fulv","lut.gibb","lut.kasm","lut.mono","lut.quin","lut.russ","lut.semi","lut.vitt","mcr.macu","mcr.nigr","mon.gran","mon.hete","mph.choa","mph.negr","mul.flav","nas.annu","nas.brev","nas.hexa","nas.litu","nas.tong","nas.unic","nas.vlam","neg.mela","neg.nigr","neo.azys","neo.cyan","nov.taen","oxy.diag","oxy.orie","oxy.unif","par.barb","par.bifa","par.cili","par.cycl","par.indi","par.mult","par.pleu","pen.aure","pen.cani","pen.emer","pgy.dick","pgy.lacr","ple.albo","ple.chae","ple.chry","ple.flav","ple.line","plx.orbi","plx.pinn","plx.teir","pms.laev","pms.leop","pms.macu","poc.semi","poc.sexs","poc.xant","pom.adel","pom.ambo","pom.bank","pom.brac","pom.chry","pom.coel","pom.gram","pom.lepi","pom.molu","pom.naga","pom.pavo","pom.phil","pom.vaiu","pom.ward","pre.biac","psd.molu","pse.flav","pse.hexa","pyg.diac","sca.alti","sca.cham","sca.dimi","sca.flav","sca.fors","sca.fren","sca.ghob","sca.glob","sca.nigr","sca.ovic","sca.psit","sca.rivu","sca.rubr","sca.schl","sca.spin","sco.bili","sco.marg","sco.mono","sig.arge","sig.cana","sig.cora","sig.doli","sig.line","sig.pmus","sig.puel","sig.punc","sig.vulp","ste.apic","ste.fasc","ste.livi","ste.nigr","stj.band","stj.stri","suf.chry","sym.nema","tha.ambl","tha.hard","tha.jans","tha.luna","tha.lute","var.albi","var.lout","wet.albi","zan.corn","zeb.scop","zeb.veli"
"Blue.Lagoon2015",2015,0.144564192,0,0,6.834122474,1.494883979,0,0,0,0,0,0,0.126429555,0,0,0,0,0,0.437505974,0,3.293829781,0,0,0,0,0,0,0.023941579,0.009354427,1.696296255,0,0,0,0,0,0,0,0,0.638328819,0,0,0,0,0.09902128,0,0,0,0,0,0,0,0,0,0,0,0.032654067,0,0,0,0.25414079,0.032971775,0,0.023121393,0.222939314,0.36745919,0,0,0.114460573,0,0,0,0,0,0,0,0,0,0.165173428,0,0,0,6.454902274,0.249062276,0,0,0,0.024042429,0,0,0.095642242,0,0,0,0,0,0.56815369,0.059458812,0,0,26.9744464,0,0.717316554,0.044205253,0.154554522,0,0.077716204,0,0,0,0,0,0,0,0,0,0,0,0,0.013761592,0,0,0.048226085,0,0,0,0,0,0.260904617,0,0,0,0,1.723865373,0.376375098,0,0.689298973,3.260193608,0,0.054329294,0,0,0,0,3.108346288,0,0,0,0,0,0,1.539370459,0.401910333,5.231566522,0,0.953043476,0,0,0,0,0,0,0,0,0.446166552,0.177651938,0,0,0.668002382,0.189999491,0,0,0,0.707918513,0,0,0,0.427769768,0.871602984,0,0,0,0,0,0.917593321,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95813405,0,0,0,0,0,0,6.429575348,0,0,0.087091596,0,0.402490229,0.786259463,0,0.578760458,0.022055808,0,0.648692321,0,9.129166835,0.010522918,0,0,0,0.010522918,0.054133673,0,0,0.003567275,0,8.591984112,0,0,0.109387895,0,0,0.132953587,0,1.823381464,0,0,0.655451518,0,0.115766511,0,0.074236294,0.742870652,0,0,0,0.285728947,0.518549571,2.43746373,0,0.276870192,0.318642805,0.222906322,0.281378866,0,0,0.496938235,0,0,0,0,0,0.049281287,0,0.113234295,0,0,0,0,0.042468495,0.032945128,0.139708617
"Granite2015",2015,0.016367313,0,0,0.686278566,0,0,0,0,0,0.625891444,0,0.918985247,1.837239745,0,0,0,1.746923278,0.161722365,0,0,0,0,0.010035037,0,0,0,0,0,0.137343179,0.125709102,0,0,0.269259514,0,0.066871603,0,0,0.341567151,0,0,0,0,0.228828023,0,0.032115408,0.38287876,0,0.090357974,0,0,0,0,0,0,0,0,0,0,0.14711464,0.098131171,0,0.406771452,0.780268477,1.221890943,0,0,0.133429702,0,0,2.130919692,1.360645358,0.187034378,0,0,0,0,0,0,0,0,1.880035686,0,0,0,0,0.004808486,0,0,1.086723888,0,0.005519849,0,0,0,7.791410732,0,0,0,0,0.093624837,0,0,0,0,0.055033646,0.581731009,0,0,0,0.029274728,0,0,0,0,0,0,0,0,0,0.030781841,0,0.229930849,0.053538273,0,0,0,0.568085375,0,0,0,0,0,0,0,0,0,0,0.088287803,0,0,0.604498432,0,0,0,0,0,0,0,0,0,0.577774843,0,0,0.541788178,0,0,0,0,0,0,0,0,0,0,0.005015884,0,0,0.262265022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.075782881,0,0,2.764981732,0.244689234,0,0.367440113,0,0.009192162,0,0,0,0,0,0,0,0,0,0,0,1.884984745,0,0,0.931941214,0,0,0.147354549,0,0.040838232,0,0.151576573,0,0,0,0.105928715,0,0,0,0.010522918,0,0,0,0.024917948,0,0,0,0,2.011489533,0,0,0,0,0.598661694,0,0,10.97981914,0.211560831,2.830663277,0,0.039957491,0.743820371,1.16669178,0.115259183,0,0,3.667339074,0,0.792672592,0.32249159,0,0,0,0,0,0,0.150310152,0,1.888565609,0,0.030756372,0,0,0.442434497,0.066020337,0,0,0,0,0.499465476,0.928224553
"LTMP12015",2015,0.050376542,14.30234124,0,8.275221247,4.937897218,0,0.141918578,0,0,3.484909494,0,2.017904381,1.159336036,0,0,0,0,2.154891848,0,1.02059637,0.413362608,0,0,0,0,0,0.015565763,0.015565763,0,0.316051312,0,0.085647781,0.42982648,0,0.059999148,0.309823532,0,0.296874425,0.034738501,0,0,0.019548852,0.305965152,0.032654067,0,0.216134745,0.082697146,0.066350557,0,0.084195827,0,0,0,0,0.117511053,0,0,0,0.391848805,0.085363902,0.152592252,0.059894836,0.115809692,0.749372577,0.158106311,0,0,0,0,0,0,0,0,0,0,0,0,1.263222133,0.160999801,0,1.047317223,5.335023878,0,0,0,0,0,0,0.090675056,0,0.151343703,0,0,1.893464726,7.892438645,0,0,0.057596101,0,0,0,0,0,0,0.86396295,0,0,0,0,0,0.306789622,0,0,0,0,0.035514098,0,0,0,0.010352106,0.168791297,0,0.015114058,0.038634305,0,0.088403377,0.490876986,0,0.056519898,0.10854374,0,0,0.354573959,0.153362396,0,0,0,0.170846742,0,0.01206689,0.46568627,0,0,0,0,0,0,0,0,0.299132991,0.349986335,5.683357045,0.262573187,0.761726272,0.743619116,0,1.287219242,0,0,0,0.626637393,0,0.530805645,0.055969612,0,0,0,0.365477096,0,0,0.197985186,0,1.967818873,0,0.08535264,0.296888478,0.110353102,0,0,0.215242557,0,0.02062418,0.480817822,0,2.227494776,0.365243484,0,0.028687037,0,0,0,0,0,0.753568343,2.259397688,0.570061484,0.504327896,0.764336166,2.772830483,0,0,0,0,14.52220224,0,0,0.130359335,0,0.021382837,0.135964814,0.010522918,1.668869973,0,0.037631815,0,0.262059027,0.136833181,0.098262444,0,0,0,0.201029033,0,0,0,0.089254279,0,0.845546976,0,0.48561804,3.63415413,0,3.748010822,0,0,10.81184874,0.062278385,2.200564163,7.20302826,0.503171616,3.71961264,0.165947096,1.22552725,0.117282605,0,0,0,1.901066717,0.835461999,0,0.567749027,0,0.25958248,0.184654406,2.27374066,0,0,0,0,0,0.114961786,0,0.389884311,0.085331897,0.066819897,0.295710176,0,0,0,0,0.304275048,1.478958402,0.24993153
"Big.Vickis2015",2015,0,0.209769555,0.141918578,3.034425378,0.361800877,0,0,0,0,0.603995591,0,0,0,0,0,0,0,1.269480347,0,2.43560326,0.457442708,0,0.083629005,0,0,0,0,0,0.379159119,0,0,0,0.106630681,0,0.014293809,0,0.017632333,2.069410701,0.042483042,0,0,0.349852006,0,0.989557506,0.016057704,0.90147638,0,0,0,0.775138285,0.017798246,0,0.056346711,0.100775635,0.050387818,0,0.088502648,0,0.539663889,0.071822305,0,0.218461227,0.349789479,1.083225126,0.105479208,37.30542744,0.161960225,0.069879087,0,0,0,0,0.130250318,0,0,4.490103328,0.446433513,0,0,0,2.598576838,2.119465616,0,0,0,0,0,0,0.005519849,0,0,0.065308134,0,0.062871986,3.051235278,0.008494116,0.016051372,0,4.466841632,0,0.060788929,0.313514529,0.626749877,0,0.338744324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010352106,0.079664645,0,0,0,0,0,0.59548384,0,0,0,0,0.922900867,0.113505225,0,0,0.496682914,0,0.113553889,0,0,0.623081354,0,0,0.893288565,0.413560145,0,0,0,0,0,1.278183382,0,0,1.091344735,0.837481388,1.013082017,3.068328992,0,0,0,0,0,0,0,0,0,0,1.170709435,0,0,0,0,0,0,0.182311952,0,0.628968432,0,0,0.071262944,0,0,0.737796866,0,0,0,0,0,0,0,0,0,0,0.152178277,0,0,2.742540344,0,0,0,0,0,0,11.62864048,0,0,1.855510307,0,0.793012079,0.246340909,0,0.631356877,0,0,0,0.017556247,2.357610474,0.257709414,0,0,0,0.240348501,0.07273012,0,0,0.032960033,0,0.978495978,0.056559201,0.109387895,2.867402659,0,0,0,0,3.418509675,0.525020519,0,9.413804805,0,4.858929171,0,0.453108978,0.767536585,0.09843601,0,0,0.122351424,1.676392306,2.003554269,0.393845815,0.401248804,0.505654098,0.827223027,0,0,0,0.28852235,0.004341678,0,0.141880126,0,0,0.019523086,0,0.482132841,0.009546674,0,0,0,0,0.956697843,0.064596759
"Coconut2011",2011,0,0.307204863,0,6.382835957,4.045385455,0,0,0,0,0.454916202,0,0.862729867,0,0.030921776,0,0,0,2.419792679,0,2.28327264,0.415867654,0,0,0,0,0.023941579,0,0.023941579,0.417863692,0.027327858,0.00528247,0.031188663,0.042877149,0,0.069918589,0,0,0.983606868,0,0,0,0.050387818,0.196882651,0.107940816,0.061926116,0.220078079,0.104678206,0,0.114272639,0.035618705,0,0,0.013005609,0,0.02556232,0,0,0,0.344476051,0,0.188251277,0.096133018,0.116478887,0.222063923,0.103103762,26.53184129,0,0.263288858,0,0,0,0,0.074260088,0,0,0,0,0.167981586,0,0,0.649952032,0.45711202,0,0,0.02120391,0.040437853,0.042407819,0,0.166877648,0,0.013297028,0,0,0.332640961,1.431477743,0,0.928268574,0,0,0,0.064186818,0,0.013942477,0,0.116131516,0,0,0,0,0,0.005024938,0,0,0,0,0.149596761,0,0.007123955,0.125335305,0,0.044074574,0,0,0,0,0.374832952,0.338830913,0,0,0,0,0,4.815287165,0.023244635,1.6706171,0.257062092,0,0.042721521,0,0.019856397,0,0,0,0,0.220629812,0,0,0,0,0.026581902,1.252797047,0.146682059,0,1.233614354,0.413796634,0,4.702464085,0,0,0.261633046,0.248642346,0,1.625171615,0,0,0,0,0.100761574,0,0,0,1.373170429,0.72001841,0,0,0.29619351,0.66069594,0,0.043722289,0.079819796,0,0,0.059303588,0,0,0,0,0.178580684,0,0,0,0,0,0.68970706,1.929797735,0,0.594793051,0.386514021,1.441849358,1.045264825,0,0,0.012278622,1.657182502,0,0,0.500730986,0,0.277943148,3.349452514,0.207362498,4.512921947,0.172591818,1.079439887,0,3.317264077,2.586531782,0.502131606,0,0,0,0.68995482,0,0,0,0.003567275,0,5.863715661,0.014096932,0,0.348225335,0,0.362656134,0.449116677,0.237566837,0.848896404,0,0.677554051,4.886871998,0,0.658774177,0,1.405933683,0.150843015,0,0,0,0,1.867152867,0,0,0.174790292,0,0.279870387,0,0,0,0,0,0.007068765,0.1296031,0,0,0.062416388,0.113792854,0.48881918,0.004842302,0,0,0,0.1138651,0.174996883,0.120106903
"Coconut2015",2015,0,3.599688394,0,4.396473034,16.31022325,1.154379478,0,0,0,0.460584579,0,1.785980723,1.852650667,0,0,0,0.851008596,6.957802164,0,1.262980188,0.431261998,0,0,0,0,0,0.019465294,0.050596819,0.515499394,0,0.112910497,0.024653283,0.582223479,0.040260511,0.17921994,0,0,1.114987402,0,0,6.111561167,0.032654067,0.047063727,0,0.016057704,0,0,0,0.00277986,0.026645649,0.017798246,0,0,0,0.050387818,0,0,0.100775635,0.20064165,0,0.152592252,0.173874764,0.138316484,0.373413116,0.042764847,4.013818827,0,0,0,0,0,0,0,0,0,0,0,0.129824521,0,0,12.43581485,2.913451055,0,0,0,0,0,0,0.178585756,0,0.2193463,0,0,0,1.074135119,0.025482348,0.032102744,0.115192203,0,0,0,0,0,0,0.916639434,0,0,0,0,0,0,0,0,0,0,0.087117888,0,0,0,0,0.083673349,0,0.071384364,0,0,0.053378555,0.193503101,0,0.119538931,0.067730876,0,0,1.369693944,0.029095314,0,1.596246401,0,0.222080589,0,0.0156283,0.520506141,0,0,0,0,0,0.323933076,0,0,2.65118464,0.75078221,1.771388565,0,7.165549277,1.118124093,0,1.146625963,0,0,0,0,0,0.606681344,0,0,0,0,8.778868008,0.351905467,0.283210005,0,1.310397696,0.162033851,0,0,1.061765175,0.07355775,0,0.029095314,0,0,0,0.050169829,0,0.353358539,0.450027284,0,0.445237903,0,0,0,0,0,0.744483076,0,0,0,0,11.64000524,0,0,0,7.485886195,15.09009435,0,0.05907281,0.487128112,0,0.010691419,0.278819395,0.018189189,0.333876711,0,0.066343921,0,0.233083767,0.090221108,0.05867765,0,0,0.045417211,0.23457291,0,0,0,0.024922041,0,9.723708533,0,0,0.124613838,0,3.963533908,0,0,9.380414976,0,5.075613666,8.787387375,0,5.427598038,0,1.084919123,0.308841112,0.788899865,0,0,0.611182753,2.334054468,0.636740728,0.300158294,0.408694263,0.447378847,0,5.148846958,0,0,0,0.030891736,0.050927811,0.178074658,0,0,0.133819014,0.121696434,0.622312022,0.016623461,0,0,0,0.279562481,1.157420792,0.402967531
"LTMP32015",2015,0,2.661884008,0,13.38045466,40.88459287,0,0.221209873,0,0,2.815037214,0,2.70359725,11.33309195,0,0,0,0,3.567260528,0,1.460153189,0,0,0,0,0,0,0,0,0,0,0.0107234,0.041912063,0.380847624,0,0,0,0,0.611780653,0.212621334,0,1.497634133,0.065308134,0.991643373,0.032654067,0,0,0,0.276833659,0.122369181,0.109334198,0,0,0.027699357,0,0.040903253,0,0,0,0.137059905,0.026196063,0,0.154610581,0.29896838,0.049709495,0,32.15448508,0.122369181,0,0,0,0,0,0,0,0,0.363399325,0,0,0,0,11.436786,3.53773394,0,0.197147914,0.004808486,0,0,0.177541824,0.060892656,0,0,0,0,0.618720003,3.337891555,0,0.030260159,0,0,0,0,0,0,0,0.214622542,0,0.04490757,0,0,0.098611917,0,0.196650676,0,0,0.117065992,0.067642798,0,0.053538273,0.101458601,0,0.165848574,0,0,0,0,0.023023476,0.036129035,0,0,0,0.557689902,0,0.947074668,0,0,2.04139004,0,0.159256283,0,0.0156283,1.529430756,0,0.784664174,0,0,0,0.687547424,0,0,0.515165185,0.93775728,0.514205913,0,1.058202886,0.174110164,0.370687754,0.539789269,0,0,0,0,0,1.417925052,0.303013275,0,0,0,0.878126161,0,0,0.056530999,0,1.646988492,0,0,0.055050376,0.44390445,0,0,0,0.071262944,0,0.966154833,0.259503561,0.802661688,0,0,0.022185263,0,0,0,0,0,0.997210407,0,0,0,0,23.60107363,0,0,0,14.00459923,17.24162793,0,0.100248463,0.819367008,0,0.032074256,0.228061407,0,0.748526219,0.012572082,0.603099874,0,0.181699703,0.410499543,0.054217796,0,0,0,0.11894076,0,0,0.188663614,0.033382512,0.071286526,0.900650688,0.291675146,0,1.331671619,0,2.12129061,0,0,5.332869169,0,3.608799026,3.774242503,0,0.286971475,0.454433565,0.878185991,0.678980316,0.908615124,0.74728734,0,0.825234058,1.375674395,0,0,0.814673869,1.924035927,0.576662541,3.027749496,0,0,0,0.002066287,0,0.429075513,0,0,0.138296802,0,0.394568268,0.033246922,0,0,0,0,0.265896004,0.35488602
"Resort2011",2011,0,0,0.310407545,6.054210083,0,0,0,0,0.023852898,0.621694477,0,0,0,0,0,0,0,0.87104753,0,0.079323738,0,0.046625069,0,0,0,0,0,0,0,0,0,0,0.200764709,0,0,0,0.034584469,0.476688488,0,0,0,0.02556232,1.819104565,0,0.028976197,0,0.06506179,0,0,0,0,0,0,0,0,0,0,0,0.237992836,0,0,0.196517662,0.231550665,1.481610551,0,0,0,0,0,0,1.730892946,0,0.021708386,0.088036177,0,0,0,0,0,0,0,0.511054616,0,0.012870012,0,0.249087723,0,0,0.138499347,0,0,0,0,0.06088598,1.531906008,0,0,0,5.505617857,0,0,0,0.208422363,0,0,0.188563975,0,0,0.09458008,0.297900107,0.115199499,0,0,0,0,0,0,0,0,0,0.279857688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054591546,0,0,0,0,0,0,0.459268277,0,0,0,0,0,1.488235485,2.367026025,0,2.433301773,0.123178161,0,0.086254835,0,0,0.111884132,0,0,0,0,0,0,0,0.301488278,0,0,0,0,0.285029313,0,0.174780075,0,0.23497002,0.286428988,0,0.011809743,0,0,0.927523623,0,0,0.247788318,0.677851321,0.431999165,0,0,0,0,0,0,0,0,0,2.145692157,0,0,0,0,0,4.019933313,0,0,0.135724943,0,0.197027065,2.727813578,0,0.62292972,0.046502702,0.104347652,0,0.039668598,0.129824543,0.750857132,0,0,0,0.033543876,0.102914498,0,0,0,0,2.243945645,0.418251636,0,3.22058244,0,0,1.134830559,0,0,0,0.026978259,10.00118915,0,0.242104525,0,0.313650477,2.928623456,0.569073868,0,0,0,1.262867394,0,0,0,0,0,0,0,0,0,0.003075958,0,0.888401624,1.557703631,0.041093538,0,0.079361434,1.564868545,0,0,0,0,0,0.44979066,0.053688394
"Big.Vickis2011",2011,0,0,0,10.83189137,0,0,0,0,0,0.68650434,0,0,0,0,0,0,1.71800456,0,0,0.460279972,0,0.119858317,0,0,0,0,0,0,0,0,0.130869868,0,0.219490795,0,0,0.085303747,0.232277135,0.6319857,0,0,0,0.15645118,0.661521183,0.335456568,0.247240022,0.852752127,0.032654067,0,0,0.026645649,0,0,0,0,0.073369386,0,0,0,0.569022038,0,0,0.673921212,2.410865533,0.635177288,0,0,0,0,0,0,0,0,0,0,0,0,0.468197043,0,0,0,0,3.131660445,0,0,0,0.230952339,0,0,0.152991057,0,0,0,0,0.216975149,7.750359574,0.949998962,0.710051061,0,0,0,0,0.032944416,0.04998758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201146411,0,0.225377786,0,0,0,0,0,0.907999155,0,0,0,0,0,1.14914622,0,0,0,0,0.032926694,0.024814848,0,0.314985705,0,0,0,0,0,0,0,0,0,0.67798346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489152387,0,0,0,0,0,0,0,0,0.349170193,0,0,0.347181463,0.082754054,0,0.931226312,0,0,0,0,0.9273481,0,0.03513593,0,0,0,0,0,0,0,0,0,0,0,0,0,2.596583982,0,0.353483993,0.987792149,0,3.285941738,4.817906324,0,0.810601875,0.064571693,0.142370868,0,0.77839406,9.562201211,2.427153545,0,0,0,0.77898582,0,0,0,0,0,0.809210033,0.109387895,0.438882167,1.134136339,0,0,0,1.60540643,1.038347484,0,0.19980158,13.08206666,0,2.762695196,0,1.696459263,0,0.497674061,0,0,0,0.715232945,0,0,0,0,0.355535763,0,0,0,0,0,0,0.430274383,0,0,0,0.023104492,0.531515363,0,0,0,0,0,0,0.585502206
"Blue.Lagoon2011",2011,0,0,0,2.104903686,1.740850735,2.72724681,0,0,0,0,0,0.047879724,0,0,0,0,7.92605136,1.036559574,0,7.001595701,0.072959414,0,0,0,0,0,0,0,0,0.035229818,0,0,0,0,0,0,0,0.434205446,0,0,0.111236107,0,0.298019022,0,0,0.072761648,0,0,0,0.026645649,0,0,0.039703611,0,0,0,0,0,0.043087242,0.015512048,0,0,0,0.849194959,0,13.51305947,0,0.397227189,0,0,0,0,0,0,0,0.063786593,0,0,0,0.229325227,4.999241051,0.07192235,0,0,0,0.650077023,0,0,0.014075955,0,0,0,0,0,0.337862352,0,0,0,14.71105946,0,0,0.027884954,1.126984677,0,0.066335765,0,0,0,0,0,0,0,0,0,0,0,0.090261678,0,0,0,0.027045786,0,0.012872705,0,0,0,0.90156233,0.308634431,0,0.144688987,0,3.308099531,0,0,0,0,0,0.032260213,0,0,0,0,11.05034835,10.34878474,0,0.776788606,0,0,0,0.707279974,2.172056105,1.962558335,0,0,0.02754008,0,4.904205748,0,0,0,0,0,0.174758343,0,0,0,0,0,0,0,0.398339315,2.979645442,0,0,0,0.07993879,0.109021195,0.03275575,0,0.040806327,0,0,0.532422525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204010248,0.726003682,7.424889163,0,1.266289408,0,0,0.483830407,0,0.78341774,0.511607024,0,0.190840079,0,0,1.981635515,0,5.186342904,0.016771938,0,0,0,0.343431045,0,0.03304456,0,0,0,1.70663767,0.093998353,0.328074957,0.134911893,0,0,0,0,0,0,0.347852062,0.521209303,0,0,0,0.265855982,0.6015894,0.114894575,0.484068987,0,0,0.119269798,4.195787396,0,0.034250858,0,0.036600622,0,0,0,0,0,0,0,0,0,0,0,0.180646091,0,0,0,0.00128519,0.199813907,0,0.481883919
