Region,Zone,Reef,Site,Transect,Ablochii,Adussumieri,Agrammoptilus,Alineatus,Amata,Anigricauda,Anigrofuscus,Apyroferus,Atriostegus,Cbicolor,Cbinotatus,Ccarolinus,Cmicrorhinos,Cspilurus,Cstriatus,Hlongiceps,Kvaigiensis,Nannulatus,Nbrevirostris,Nlituratus,Ntonganus,Nunicornis,Nvlamingi,Saltipinnis,Sargenteus,Schameleon,Scorallinus,Sdimidiatrus,Sdoliatus,Sflavipectoralis,Sforsteni,Sfrenatus,Sghobban,Sglobiceps,Slineatus,Sniger,Soviceps,Spsittacus,Spuellus,Spunctatissimus,Spunctatus,Squoyi,Srivulatus,Srubroviolaceus,Sschlegeli,Sspinus,Svulpinus,Zscopas,Zvelifer
Swains,G,HP3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,4,0,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,7,0,2,0,0
Swains,G,HP3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,2,0,6,0,0,0,0,12,0,0,0,1,2,1,2,0,60,0,5,2,3,0,0
Swains,G,HP3,1,3,0,0,0,0,0,2,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0,0,1,3,0,2,0,1,0,0,1,0,15,0,9,0,2,0,0
Swains,G,HP3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,1,21,0,0,0,0,0,0,28,0,46,0,1,0,1,0,0
Swains,G,HP3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Swains,G,HP3,2,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,1,0,2,0,0
Swains,G,HP3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0
Swains,G,HP3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0
Swains,G,HP3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,2,0,0
Swains,G,HP3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0
