"Species","Diet","Habitat","Territorial","Sizeclass"
"abu.sexs","Plankton","Hard","Nonterritorial","Small"
"abu.whit","Plankton","Hard","Nonterritorial","Small"
"aca.aura","TurfDetrit","Hard","Nonterritorial","Large"
"aca.bloc","TurfDetrit","Hard","Nonterritorial","Large"
"aca.duss","TurfDetrit","Hard","Nonterritorial","Large"
"aca.gram","TurfDetrit","Sand","Nonterritorial","Large"
"aca.line","TurfDetrit","Hard","Territorial","Large"
"aca.mata","Plankton","Hard","Nonterritorial","Large"
"aca.nans","TurfDetrit","Hard","Territorial","Medium"
"aca.ncus","TurfDetrit","Hard","Territorial","Medium"
"aca.nigr","TurfDetrit","Rubble","Nonterritorial","Medium"
"aca.nuda","TurfDetrit","Sand","Nonterritorial","Large"
"aca.oliv","TurfDetrit","Hard","Nonterritorial","Large"
"aca.pyro","TurfDetrit","Hard","Nonterritorial","Medium"
"aca.thom","Plankton","Hard","Nonterritorial","Medium"
"aca.trio","TurfDetrit","Hard","Nonterritorial","Medium"
"aca.xant","TurfDetrit","Sand","Nonterritorial","Large"
"acn.poly","Plankton","Hard","Nonterritorial","Small"
"amb.aure","Plankton","Hard","Nonterritorial","Small"
"amb.cura","Plankton","Hard","Nonterritorial","Small"
"amb.leuc","InvMobMic","Hard","Nonterritorial","Small"
"amp.akin","Plankton","Anemones","Territorial","Small"
"amp.clar","Omniv","Anemones","Territorial","Small"
"amp.mela","Omniv","Anemones","Territorial","Small"
"amp.peri","Plankton","Anemones","Territorial","Small"
"ana.caer","InvMobMac","Hard","Nonterritorial","Large"
"ana.geog","Plankton","Hard","Nonterritorial","Medium"
"ana.neog","InvMobMac","Hard","Nonterritorial","Medium"
"bal.viri","InvMobMac","Hard","Territorial","Verylarge"
"blp.undu","Omniv","Hard","Territorial","Medium"
"bod.axil","InvMobMac","Hard","Nonterritorial","Medium"
"bod.meso","InvMobMac","Hard","Nonterritorial","Medium"
"cen.bico","Omniv","Hard","Nonterritorial","Small"
"cen.bisp","TurfDetrit","Hard","Nonterritorial","Small"
"cen.vrol","Omniv","Hard","Nonterritorial","Small"
"cep.argu","Piscivore","Hard","Nonterritorial","Large"
"cep.boen","Piscivore","Hard","Nonterritorial","Medium"
"cep.cyan","Piscivore","Hard","Nonterritorial","Medium"
"cep.micr","Piscivore","Hard","Nonterritorial","Medium"
"cep.urod","Piscivore","Hard","Nonterritorial","Medium"
"cet.bico","TurfDetrit","Hard","Nonterritorial","Verylarge"
"cha.afas","InvSess","Hard","Nonterritorial","Small"
"cha.auri","Omniv","Hard","Nonterritorial","Medium"
"cha.baro","InvSess","Hard","Territorial","Small"
"cha.citr","InvSess","Hard","Nonterritorial","Small"
"cha.ephi","Omniv","Hard","Nonterritorial","Medium"
"cha.klei","InvSess","Hard","Nonterritorial","Small"
"cha.line","Omniv","Hard","Nonterritorial","Medium"
"cha.lunu","InvSess","Hard","Nonterritorial","Medium"
"cha.mela","InvSess","Hard","Nonterritorial","Small"
"cha.mert","Omniv","Hard","Nonterritorial","Small"
"cha.pelw","InvSess","Hard","Nonterritorial","Small"
"cha.pleb","InvSess","Hard","Nonterritorial","Small"
"cha.raff","InvSess","Hard","Nonterritorial","Small"
"cha.rain","InvSess","Hard","Nonterritorial","Small"
"cha.reti","InvSess","Hard","Nonterritorial","Medium"
"cha.spec","InvSess","Hard","Nonterritorial","Medium"
"cha.tlis","InvSess","Hard","Territorial","Medium"
"cha.ttus","InvSess","Hard","Territorial","Small"
"cha.ulie","InvSess","Hard","Nonterritorial","Small"
"cha.unim","InvSess","Hard","Nonterritorial","Medium"
"cha.vaga","Omniv","Hard","Nonterritorial","Medium"
"che.chlo","InvMobMac","Hard","Nonterritorial","Large"
"che.fasc","InvMobMac","Hard","Nonterritorial","Large"
"che.tril","InvMobMac","Hard","Nonterritorial","Large"
"che.undu","InvMobMac","Hard","Nonterritorial","Verylarge"
"chm.rost","InvMobMac","Hard","Nonterritorial","Medium"
"cho.fasc","InvMobMac","Hard","Territorial","Medium"
"cho.grap","Piscivore","Rubble","Nonterritorial","Large"
"cho.mono","InvMobMac","Rubble","Nonterritorial","Medium"
"cho.scho","Piscivore","Sand","Nonterritorial","Verylarge"
"cho.vitt","InvMobMac","Rubble","Nonterritorial","Medium"
"chr.alis","Plankton","Hard","Nonterritorial","Small"
"chr.lepi","Plankton","Hard","Nonterritorial","Small"
"chr.marg","Plankton","Hard","Nonterritorial","Small"
"chr.tern","Plankton","Coral","Nonterritorial","Small"
"chr.viri","Plankton","Coral","Nonterritorial","Small"
"chr.webe","Plankton","Hard","Nonterritorial","Small"
"chr.xant","Plankton","Hard","Nonterritorial","Small"
