Species,Diet,Habitat,Territorial,Sizeclass,ID,Big Vickis2011,Big Vickis2015,Blue Lagoon2011,Blue Lagoon2015,Bommie Bay2011,Bommie Bay2015,Coconut2011,Coconut2015,Granite2011,Granite2015,LTMP12011,LTMP12015,LTMP32011,LTMP32015,Monkey's Butt2011,Monkey's Butt2015,North Reef2011,North Reef2015,Palfrey Lagoon2011,Palfrey Lagoon2015,Pidgin Point2011,Pidgin Point2015,Resort2011,Resort2015,Steve's Gully2011,Steve's Gyllu2015,Washing Machine2011,Washing Machine2015
abu.sexs,Plankton,Hard,Nonterritorial,Small,abu.sexs,0,0,0,0.144564192,0,0,0,0,0,0.016367313,0,0.050376542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu.whit,Plankton,Hard,Nonterritorial,Small,abu.whit,0,0.209769555,0,0,0,0,0.307204863,3.599688394,0,0,0,14.30234124,0,2.661884008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aca.aura,TurfDetrit,Hard,Nonterritorial,Large,aca.aura,0,0.141918578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310407545,0,0,0,0,0
aca.bloc,TurfDetrit,Hard,Nonterritorial,Large,aca.bloc,10.83189137,3.034425378,2.104903686,6.834122474,9.245311642,3.178791648,6.382835957,4.396473034,2.469362848,0.686278566,0,8.275221247,0,13.38045466,0.180025318,3.92049989,0.170824974,1.241587612,4.850778276,0.366706162,17.02692845,0.10704557,6.054210083,0,0.872333457,1.907644963,2.640798331,2.124595571
aca.duss,TurfDetrit,Hard,Nonterritorial,Large,aca.duss,0,0.361800877,1.740850735,1.494883979,1.27194121,1.006983991,4.045385455,16.31022325,2.766638739,0,2.570517534,4.937897218,4.489750761,40.88459287,0.290141789,0,0.175971881,0,0,0.132063763,6.537681363,8.998189864,0,0,0,2.239541792,0.537704509,0
aca.gram,TurfDetrit,Sand,Nonterritorial,Large,aca.gram,0,0,2.72724681,0,0,0,0,1.154379478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aca.line,TurfDetrit,Hard,Territorial,Large,aca.line,0,0,0,0,0,0.857723396,0,0,0,0,0,0.141918578,0,0.221209873,0,0,0,1.094205062,0,0,0,1.357768928,0,0,0,0,0.27613523,4.083222401
aca.mata,Plankton,Hard,Nonterritorial,Large,aca.mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184645635,0,0,0,0,0,0,0,0,0,0,0
aca.nans,TurfDetrit,Hard,Territorial,Medium,aca.nans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023852898,0,0,0,0,0
aca.ncus,TurfDetrit,Hard,Territorial,Medium,aca.ncus,0.68650434,0.603995591,0,0,0.540878052,1.552986689,0.454916202,0.460584579,1.518536391,0.625891444,0.374010992,3.484909494,0.104638789,2.815037214,0.2910457,1.076919085,1.09020155,2.586679776,0.02865434,0.041546375,4.254854648,2.186884307,0.621694477,0.380453354,0.163959075,1.724138725,1.796214439,1.203771119
aca.nigr,TurfDetrit,Rubble,Nonterritorial,Medium,aca.nigr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.139815403,0,0,0,0,0,0,0,0,0,0.601051431
aca.nuda,TurfDetrit,Sand,Nonterritorial,Large,aca.nuda,0,0,0.047879724,0.126429555,2.469424678,0,0.862729867,1.785980723,0,0.918985247,1.251040755,2.017904381,0,2.70359725,0,0.264074968,0.464528206,5.565497181,1.794427598,0.11915304,0,0,0,0,0.383511532,0.161660734,0,0.340293449
aca.oliv,TurfDetrit,Hard,Nonterritorial,Large,aca.oliv,0,0,0,0,0,1.6993496,0,1.852650667,6.047000679,1.837239745,0,1.159336036,0.103644117,11.33309195,0,0,0.754570851,4.384971557,0,0,0.91293916,0.145876951,0,0,0.347396054,0.121783588,2.826096305,1.548813663
aca.pyro,TurfDetrit,Hard,Nonterritorial,Medium,aca.pyro,0,0,0,0,0,0,0.030921776,0,0,0,0,0,0,0,0,0,0.060165426,0,0,0,0,0,0,0,0,0,0,0
aca.thom,Plankton,Hard,Nonterritorial,Medium,aca.thom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072938475,0,0,0,0,0,0,0,0,0,0,0,0
aca.trio,TurfDetrit,Hard,Nonterritorial,Medium,aca.trio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048871854,0,0,0,0,0,0
aca.xant,TurfDetrit,Sand,Nonterritorial,Large,aca.xant,1.71800456,0,7.92605136,0,0.116471789,0,0,0.851008596,0,1.746923278,0,0,0,0,0,1.561950167,0,0.60487495,0.157008216,1.484808609,0,0,0,0,0,0,0,0
acn.poly,Plankton,Hard,Nonterritorial,Small,acn.poly,0,1.269480347,1.036559574,0.437505974,1.799704237,3.816092679,2.419792679,6.957802164,0.320893739,0.161722365,2.957856439,2.154891848,2.69560663,3.567260528,0,0.036127574,0.917766637,1.466679586,0.300892362,1.773032123,1.38382186,3.520167854,0.87104753,0.289984167,0.575021011,0.388627238,0.094163977,1.422875023
amb.aure,Plankton,Hard,Nonterritorial,Small,amb.aure,0,0,0,0,0,0,0,0,0,0,0,0,0.197968063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amb.cura,Plankton,Hard,Nonterritorial,Small,amb.cura,0.460279972,2.43560326,7.001595701,3.293829781,2.136424537,1.833777406,2.28327264,1.262980188,0.106956424,0,3.664424453,1.02059637,4.409104067,1.460153189,3.756767968,0.336940506,0.489434373,0.256123168,2.020020383,3.604937344,0.277785809,1.917012071,0.079323738,0,1.12653402,0.824857589,0.832190497,0.531931256
amb.leuc,InvMobMic,Hard,Nonterritorial,Small,amb.leuc,0,0.457442708,0.072959414,0,0,1.201563838,0.415867654,0.431261998,0,0,1.132335678,0.413362608,1.190821972,0,1.312858477,0.145521554,0.099228585,0,0,0,0.042717438,0.608873952,0,0,0.099228585,0.137601582,0,0
amp.akin,Plankton,Anemones,Territorial,Small,amp.akin,0.119858317,0,0,0,0,0,0,0,0,0,0,0,0.131044707,0,0,0,0.16496753,0,0,0,0,0,0.046625069,0,0,0.015764242,0,0
amp.clar,Omniv,Anemones,Territorial,Small,amp.clar,0,0.083629005,0,0,0,0,0,0,0,0.010035037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050840585,0,0.015764242,0,0
amp.mela,Omniv,Anemones,Territorial,Small,amp.mela,0,0,0,0,0,0.10148671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amp.peri,Plankton,Anemones,Territorial,Small,amp.peri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020983665,0,0,0,0,0,0,0
ana.caer,InvMobMac,Hard,Nonterritorial,Large,ana.caer,0,0,0,0,0,0,0.023941579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ana.geog,Plankton,Hard,Nonterritorial,Medium,ana.geog,0,0,0,0.023941579,0.029029534,0.023941579,0,0.019465294,0,0,0.095790629,0.015565763,0,0,0,0.043406873,0.0846065,0.048305134,0,0,0,0.039507341,0,0,0,0.023941579,0,0.058395881
ana.neog,InvMobMac,Hard,Nonterritorial,Medium,ana.neog,0,0,0,0.009354427,0,0.038581654,0.023941579,0.050596819,0,0,0,0.015565763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015565763,0,0
bal.viri,InvMobMac,Hard,Territorial,Verylarge,bal.viri,0,0.379159119,0,1.696296255,0,0.320460834,0.417863692,0.515499394,0,0.137343179,0,0,0,0,0,0,0,0.269328005,0,0,0,0,0,0,0,0.379159119,0,0.421517612
blp.undu,Omniv,Hard,Territorial,Medium,blp.undu,0,0,0.035229818,0,0.102805545,0,0.027327858,0,0.597655479,0.125709102,0,0.316051312,0.055249465,0,0.055249465,0.04450215,0.23532274,0.730843915,0,0.081584296,0,0,0,0,0.035229818,0.035229818,0.617039732,0.04450215
bod.axil,InvMobMac,Hard,Nonterritorial,Medium,bod.axil,0.130869868,0,0,0,0,0,0.00528247,0.112910497,0,0,0.086464968,0,0.047643669,0.0107234,0,0,0,0,0,0,0.110020995,0,0,0,0,0,0.047643669,0
bod.meso,InvMobMac,Hard,Nonterritorial,Medium,bod.meso,0,0,0,0,0,0.21483266,0.031188663,0.024653283,0,0,0.318020606,0.085647781,0,0.041912063,0,0.062153805,0.301185299,0.063474581,0,0,0.049886818,0.164507415,0,0,0,0,0,0.21629839
cen.bico,Omniv,Hard,Nonterritorial,Small,cen.bico,0.219490795,0.106630681,0,0,0.371555908,0.564972393,0.042877149,0.582223479,1.660667097,0.269259514,0.735462425,0.42982648,0.167423053,0.380847624,0.395489467,0.536831396,0.382793014,0.414373791,0,0,0.135948029,0.305282246,0.200764709,0.225281712,0.723435143,0.925098224,0.527302358,0.147103498
cen.bisp,TurfDetrit,Hard,Nonterritorial,Small,cen.bisp,0,0,0,0,0,0.017607454,0,0.040260511,0,0,0,0,0,0,0,0,0,0.027562847,0,0,0,0,0,0,0,0,0.010174001,0
cen.vrol,Omniv,Hard,Nonterritorial,Small,cen.vrol,0,0.014293809,0,0,0.053315341,0.109597994,0.069918589,0.17921994,0.053315341,0.066871603,0.091582788,0.059999148,0.036872029,0,0,0.044631035,0.014293809,0.08213654,0,0,0,0.063383788,0,0,0,0.033046561,0,0
cep.argu,Piscivore,Hard,Nonterritorial,Large,cep.argu,0.085303747,0,0,0,0.278150421,0,0,0,0,0,0.455020621,0.309823532,1.703165799,0,0.152350418,0,0,0.034161583,0,0,0,0,0,0.41955078,0.160490075,0.016798374,0.288990745,0
cep.boen,Piscivore,Hard,Nonterritorial,Medium,cep.boen,0.232277135,0.017632333,0,0,0.007398092,0,0,0,0.042024236,0,0.121385739,0,0,0,0,0.042024236,0.014796184,0.050464606,0.013558952,0,0,0,0.034584469,0.166944269,0.017632333,0,0,0
cep.cyan,Piscivore,Hard,Nonterritorial,Medium,cep.cyan,0.6319857,2.069410701,0.434205446,0.638328819,0.601985057,0.232698989,0.983606868,1.114987402,0.821463828,0.341567151,0.342061535,0.296874425,0.61529217,0.611780653,0.515060233,0.645544892,0.334256512,2.202523131,0.007101442,0.354917023,0,0.329061285,0.476688488,0.523250324,0.709757388,0.742033204,0.440037715,0.028049082
cep.micr,Piscivore,Hard,Nonterritorial,Medium,cep.micr,0,0.042483042,0,0,0,0,0,0,0,0,0,0.034738501,0,0.212621334,0,0,0,0,0,0.034738501,0,0,0,0,0,0.072485565,0,0
cep.urod,Piscivore,Hard,Nonterritorial,Medium,cep.urod,0,0,0,0,0.114052541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020667626,0,0,0,0,0.020667626,0,0,0,0
cet.bico,TurfDetrit,Hard,Nonterritorial,Verylarge,cet.bico,0,0,0.111236107,0,0,0.132578647,0,6.111561167,0,0,0,0,0,1.497634133,0,0.254783753,0,2.489733173,0,0,0,0,0,0,0,0,1.219272253,0.889888853
cha.afas,InvSess,Hard,Nonterritorial,Small,cha.afas,0.15645118,0.349852006,0,0,0,0,0.050387818,0.032654067,0,0,0,0.019548852,0.014533147,0.065308134,0.091291071,0.200211482,0.050387818,0,0.341927156,0.032654067,0.07355732,0,0.02556232,0.092298387,0.343431695,0.058646556,0,0.081806506
cha.auri,Omniv,Hard,Nonterritorial,Medium,cha.auri,0.661521183,0,0.298019022,0.09902128,0.459473937,0,0.196882651,0.047063727,1.315781057,0.228828023,0.865294777,0.305965152,0.177333574,0.991643373,0.21075254,0.3761554,0,0.343463923,0.820172681,0.103393431,0.047063727,0,1.819104565,0.216139955,0.123388557,0.225175092,0.643586409,0.151334864
cha.baro,InvSess,Hard,Territorial,Small,cha.baro,0.335456568,0.989557506,0,0,0.225694603,0.131773707,0.107940816,0,0.235517546,0,0.532334471,0.032654067,0.78228122,0.032654067,0.050387818,0,0,0.039097704,0,0,0,0.040903253,0,0,0.149319524,0.112655024,0.561163152,0.106211387
cha.citr,InvSess,Hard,Nonterritorial,Small,cha.citr,0.247240022,0.016057704,0,0,0.084442379,0,0.061926116,0.016057704,0.087616273,0.032115408,0,0,0,0,0,0,0.05339432,0.222665475,0,0,0.027970308,0,0.028976197,0.004503959,0,0,0.041668733,0.074190039
cha.ephi,Omniv,Hard,Nonterritorial,Medium,cha.ephi,0.852752127,0.90147638,0.072761648,0,0.959498126,0,0.220078079,0,0,0.38287876,0.220973485,0.216134745,0.098254649,0,0,0.145523296,0.048349187,0,0,0,0,0,0,0,0.288120441,0.135234838,0.798686268,0.096698374
