Family,Corrected Name,FB-Code,Sample Size,PLD- Mean,PLD- Max,PLD - Min
Acanthuridae,Acanthurus bahianus,942,,52,52,
Acanthuridae,Acanthurus bahianus,942,,52.3,52.3,
Acanthuridae,Acanthurus bahianus,942,10,23.2,30,19
Acanthuridae,Acanthurus chirurgus,943,,55,55,
Acanthuridae,Acanthurus chirurgus,943,,55.2,55.2,
Acanthuridae,Acanthurus chirurgus,943,10,26.9,35,22
Acanthuridae,Acanthurus chirurgus,943,,,35,12
Acanthuridae,Acanthurus coeruleus,944,,52,52,
Acanthuridae,Acanthurus coeruleus,944,,51.6,51.6,
Acanthuridae,Acanthurus coeruleus,944,10,31.3,43,20
Acanthuridae,Acanthurus lineatus,1258,5,41.2,43,40
Acanthuridae,Acanthurus lineatus,1258,2,39.5,41,38
Acanthuridae,Acanthurus nigricans,6011,3,59.7,62,56
Acanthuridae,Acanthurus nigrofuscus,4739,,31,31,
Acanthuridae,Acanthurus nigrofuscus,4739,2,26.7,28,26
Acanthuridae,Acanthurus olivaceus,4744,4,58.5,60,57
Acanthuridae,Acanthurus olivaceus,4744,,60.8,60.8,
Acanthuridae,Acanthurus sp.1,#N/A,,60,60,
Acanthuridae,Acanthurus sp.2,#N/A,,62,62,
Acanthuridae,Acanthurus sp.3,#N/A,,46,46,
Acanthuridae,Acanthurus triostegus,1260,5,44,48,40
Acanthuridae,Acanthurus triostegus,1260,,45,45,
Acanthuridae,Acanthurus triostegus,1260,,44,49,40
Acanthuridae,Acanthurus triostegus,1260,,42,45,37
Acanthuridae,Acanthurus triostegus,1260,,42,50,38
Acanthuridae,Acanthurus triostegus,1260,150,44.6,47,42
Acanthuridae,Acanthurus triostegus,1260,1,51,51,
Acanthuridae,Acanthurus triostegus,1260,,44,,
Acanthuridae,Acanthurus triostegus,1260,,70,,
Acanthuridae,Ctenochaetus binotatus,6012,,60,74,47
Acanthuridae,Ctenochaetus binotatus,6012,,57,57,
Acanthuridae,Ctenochaetus flavicauda,59589,5,31,33,29
Acanthuridae,Ctenochaetus striatus,1262,6,38.2,46,34
Acanthuridae,Ctenochaetus striatus,1262,2,55,55,
Acanthuridae,Ctenochaetus striatus,1262,9,55,60,50
Acanthuridae,Ctenochaetus striatus,1262,1,29.7,31,29
Acanthuridae,Ctenochaetus striatus,1262,15,47.5,54,39
Acanthuridae,Ctenochaetus striatus,1262,7,24.7,30,21
Acanthuridae,Ctenochaetus striatus,1262,5,57,58.78885438,
Acanthuridae,Naso annulatus,6019,9,62.3,71,57
Acanthuridae,Naso brevirostris,6021,8,68.5,74,60
Acanthuridae,Naso brevirostris,6021,,90.8,90.8,
Acanthuridae,Naso hexacanthus,1263,,91.2,91.2,
Acanthuridae,Naso lituratus,1264,4,69.8,75,65
Acanthuridae,Naso lituratus,1264,1,69,69,
Acanthuridae,Naso sp.,None,1,84,84,84
Acanthuridae,Naso unicornis,1265,4,73.3,78,70
Acanthuridae,Naso unicornis,1266,,75,94,67
Acanthuridae,Naso unicornis,1265,,71,71,
Acanthuridae,Naso vlamingii,6024,3,77.3,82,72
Acanthuridae,Paracanthurus hepatus,6017,1,37,37,
Acanthuridae,Zebrasoma flavescens,6018,,54,54,
Acanthuridae,Zebrasoma scopas,5951,5,50.6,55,48
Acanthuridae,Zebrasoma scopas,5951,,59.8,59.8,
Acanthuridae,Zebrasoma veliferum,1266,2,35.5,37,34
Acanthuridae,Zebrasoma veliferum,1266,1,36,36,
Achiridae,Achirus lineatus,4256,,23,23,
Achiridae,Achirus lineatus,4256,,23,33,16
Agonidae,Bothragonus swanii,4163,,54,54,
Ammodytidae,Ammodytes americanus,3820,,159.1,550,46
Ammodytidae,Ammodytes hexapterus,3822,,,,
Anarhichadidae,Anarrhichthys ocellatus,3813,,,,
Antennariidae,Antennariidae sp.,#N/A,3,54,64,48
Antennariidae,Antennatus tuberosus,11150,1,47.5,51,42
Antennariidae,Antennarius multiocellatus,3084,1,54,54,54
Apogonidae,Apogon aurolineatus,3521,2,19.5,20,19
Apogonidae,Apogon binotatus,3522,10,20.1,24,17
Apogonidae,Apogon coccineus,5752,3,19.7,20,19
Apogonidae,Apogon compressus,5769,30,24,24,
Apogonidae,Apogon crassiceps,12992,5,17.7,20,15
Apogonidae,Apogon cyanosoma,4600,5,18.2,19,18
Apogonidae,Apogon cyanosoma,4601,30,24,24,
Apogonidae,Apogon doederleini,8587,5,22.6,27,16
Apogonidae,Apogon exostigma,5756,2,33.5,34,33
Apogonidae,Apogon fraenatus,5757,4,25.3,26,25
Apogonidae,Apogon imberbis,1693,63,21.3,24,18
Apogonidae,Apogon imberbis,1693,,22,22,
Apogonidae,Apogon maculatus,3526,10,20.7,30,18
Apogonidae,Apogon nigrofasciatus,4836,2,18.5,19,18
Apogonidae,Apogon novemfasciatus,5768,1,29.7,33,28
Apogonidae,Apogon bandanensis,5763,1,24.5,25,24
Apogonidae,Apogon pseudomaculatus,3530,10,26.8,32,19
Apogonidae,Apogon quadrisquamatus,3531,10,18.7,23,15
Apogonidae,Apogon sp. (petit rouge),#N/A,5,32.2,33,31
Apogonidae,Apogonidae sp3,#N/A,1,16,16,16
Apogonidae,Apogonidae spp.,#N/A,,,30.6,14
Apogonidae,Astrapogon stellatus,3535,10,20.2,23,16
Apogonidae,Cheilodipterus quinquelineatus,5482,29,23.1,29,17
Apogonidae,Cheilodipterus quinquelineatus,5483,60,24,24,
Apogonidae,Cheilodipterus quinquelineatus,5482,4,18.8,20,17
Apogonidae,Cheilodipterus quinquelineatus,5482,25,23.1,21,17
Apogonidae,Fowleria marmorata,5744,1,41.3,43,39
Apogonidae,Gymnapogon urospilotus,5787,5,34.6,38,32
Apogonidae,Phaeoptyx pigmentaria,3537,1,20,20,20
Apogonidae,Sphaeramia orbicularis,4926,1,17,17,
Atherinidae,Atherina boyeri,1696,72,10.4,12,9
Atherinidae,Atherina boyeri,1696,,10.5,10.5,
Atherinidae,Atherina hepsetus,1697,83,11.4,14,9
Atherinidae,Atherina hepsetus,1697,,11.8,11.8,
Atherinopsidae,Leuresthes tenuis,3239,,44,44,
Atherinopsidae,Leuresthes tenuis,3239,,,,
Atherinopsidae,Menidia menidia,339,,35,35,
Atherinopsidae,Menidia menidia,339,,35.4,35.4,
Atherinopsidae,Menidia peninsulae,3244,,41,41,
Atherinopsidae,Menidia peninsulae,3244,,41,73,23
Aulostomidae,Aulostomus chinensis,1309,6,93.3,116,71
Aulostomidae,Aulostomus strigosus,9160,,93,93,
Balistidae,Balistapus undulatus,6025,1,51.3,52,
Balistidae,Balistes vetula,19,,75,83,63
Balistidae,Balistoides conspicillum,2300,3,36,38,35
Balistidae,Pseudobalistes flavimarginatus,6027,4,44.5,48,41
Balistidae,Rhinecanthus aculeatus,5839,1,43,43,43
Balistidae,Rhinecanthus aculeatus,5839,1,48,48,
Balistidae,Rhinecanthus rectangulus,5840,6,43.5,46,39
Batrachoididae,Porichthys notatus,3071,,,,
Blennioidei,Aidablennius sphynx,25971,61,41.2,45,35
Blennioidei,Coryphoblennius galerita,7644,30,25.8,28,24
Blennioidei,Aidablennius sphynx,25971,,42,42,
Blennioidei,Coryphoblennius galerita,7644,,26.5,26.5,
Blennioidei,Hypleurochilus bermudensis,3758,5,25.4,28,21
Blennioidei,Lipophrys adriaticus,25969,5,23,24,21
Blennioidei,Lipophrys adriaticus,25969,,24,24,
Blennioidei,Lipophrys canevae,16297,24,30.7,34,28
Blennioidei,Lipophrys canevae,16297,,31,31,
Blennioidei,Ophioblennius atlanticus,3768,,38,38,
Blennioidei,Ophioblennius atlanticus,3768,,28.5,28.5,
Blennioidei,Ophioblennius steindachneri,8300,,50,50,
Blennioidei,Parablennius incognitus,16326,54,23.8,30,21
Blennioidei,Parablennius incognitus,16326,,23.8,23.8,
Blennioidei,Parablennius marmoreus,3769,10,23.4,29,19
Blennioidei,Parablennius pilicornis,16962,8,33,37,31
Blennioidei,Parablennius pilicornis,16962,2,28,28,28
Blennioidei,Parablennius sanguinolentus,1700,2,33,34,32
Blennioidei,Parablennius sanguinolentus,1700,,34,34,
Blennioidei,Parablennius zvonimiri,26272,2,24,24,24
Blennioidei,Paralipophrys trigloides,16301,299,67.2,89,39
Blennioidei,Paralipophrys trigloides,16301,,52,52,
Blennioidei,Petroscirtes sp.,None,3,34.3,36,31
Blennioidei,Petroscirtes fallax,13748,1,21,21,21
Blennioidei,Petroscirtes lupus,13750,6,26.5,28,24
Blennioidei,Petroscirtes mitratus,6074,2,24.5,25,24
Bothidae,Arnoglossus thori,43,14,31.4,39,25
Bothidae,Bothus mancus,7641,4,69.3,80,63
Bothidae,Bothus pantherinus,1321,6,63.7,87,54
Bothidae,Bothus podas,207,41,33.7,38,28
Caesionidae,Caesio caerulaurea,918,3,22,23,21
Caesionidae,Pterocaesio chrysozona,932,,42,42,
Caesionidae,Pterocaesio marri,935,,42,42,
Caesionidae,Pterocaesio marri,935,6,42,42,
Callionymidae,Synchiropus splendidus,12644,2,36,39,33
Carangidae,Atule mate,1893,?,50,52,48
Carangidae,Carangidae spp.,#N/A,4,45,49,40
Carangidae,Caranx melampygus,1906,5,57.6,60,56
Carapidae,Carapus boraborensis,16829,8,50.2,50.2,
Carapidae,Carapus mourlani,16791,10,73,73,
Carapidae,Encheliophis gracilis,9204,3,73.7,75,72
Carapidae,Encheliophis gracilis,9204,10,75.5,75.5,
Carapidae,Encheliophis homei,4832,6,77.2,85,64
Carapidae,Encheliophis homei,4832,58,82.6,82.6,
Blennioidei,Acanthemblemaria aspera,3708,10,20.7,23,18
Blennioidei,Chaenopsis limbaughi,3712,2,30.5,31,30
Blennioidei,Emblemaria pandionis,3718,10,25.3,32,23
Chaetodontidae,Chaetodon capistratus,3602,3,38,42,33
Chaetodontidae,Chaetodon ocellatus,3604,2,35.5,37,34
Chaetodontidae,Chaetodon sedentarius,3605,1,52,52,52
Chaetodontidae,Chaetodon striatus,3606,1,49,49,49
Chaetodontidae,Chaetodon auriga,5557,5,41,47,36
Chaetodontidae,Chaetodon auriga,5557,4,41,45.1,
Chaetodontidae,Chaetodon auriga,5557,24,41.7,42.80227038,
Chaetodontidae,Chaetodon auriga,5557,5,41.8,44.32228468,
Chaetodontidae,Chaetodon auriga,5557,6,54.3,58.34165808,
Chaetodontidae,Chaetodon auriga,5557,21,37.1,37.84194083,
Chaetodontidae,Chaetodon auriga,5557,5,52.2,58.46099034,
Chaetodontidae,Chaetodon auriga,5557,54,39.1,39.53546484,
Chaetodontidae,Chaetodon auriga,5557,6,46.5,53,40
Chaetodontidae,Chaetodon auriga,5557,21,48,48,
Chaetodontidae,Chaetodon baronessa,5558,5,38,38,38
Chaetodontidae,Chaetodon baronessa,5558,54,33,33,
Chaetodontidae,Chaetodon citrinellus,5561,4,50.5,54,48
Chaetodontidae,Chaetodon collare,7803,1,43,43,
Chaetodontidae,Chaetodon ephippium,5562,4,38.5,40,37
Chaetodontidae,Chaetodon flavirostris,6527,14,40.79,42.48443627,
Chaetodontidae,Chaetodon flavirostris,6527,6,49.17,55.94692162,
Chaetodontidae,Chaetodon flavirostris,6527,4,58.25,68.15,
Chaetodontidae,Chaetodon flavirostris,6527,25,40.88,41.664,
Chaetodontidae,Chaetodon kleinii,5446,1,56,56,
Chaetodontidae,Chaetodon lineolatus,5564,1,54,54,
Chaetodontidae,Chaetodon lunula,5565,3,43,48,37
Chaetodontidae,Chaetodon lunulatus,14300,4,39.3,46,31
Chaetodontidae,Chaetodon miliaris,5136,,60,60,
Chaetodontidae,Chaetodon ornatissimus,6550,2,62.5,64,61
Chaetodontidae,Chaetodon plebeius,6613,1,39,39,39
Chaetodontidae,Chaetodon plebeius,6613,,45.2,45.2,
Chaetodontidae,Chaetodon plebeius,6613,15,48,49.18771489,
Chaetodontidae,Chaetodon rainfordi,6631,1,35,35,35
Chaetodontidae,Chaetodon rainfordi,6631,,27.8,27.8,
Chaetodontidae,Chaetodon speculum,5576,51,50.2745098,59,42
Chaetodontidae,Chaetodon speculum,5576,51,48.05882353,56,38
Chaetodontidae,Chaetodon speculum,5576,51,50.1372549,59,40
Chaetodontidae,Chaetodon speculum,5576,50,49.1,59,41
Chaetodontidae,Chaetodon speculum,5576,1,26,26,
Chaetodontidae,Chaetodon trifascialis,5578,5,39.4,43,34
Chaetodontidae,Chaetodon trifascialis,5578,2,32,34,30
Chaetodontidae,Chaetodon ulietensis,5580,3,41,43,37
Chaetodontidae,Chaetodon unimaculatus,5581,2,35,35,35
Chaetodontidae,Chaetodon vagabundus,5582,4,50.8,55,49
Chaetodontidae,Chaetodon vagabundus,5582,,38,48,29
Chaetodontidae,Chaetodon vagabundus,5582,,38,38,
Chaetodontidae,Chelmon rostratus,5483,2,25.5,26,25
Chaetodontidae,Chelmon rostratus,5483,2,27,28,26
Chaetodontidae,Forcipiger flavissimus,5584,3,50.7,57,41
Chaetodontidae,Heniochus acuminatus,5588,,40.83,40.83,
Chaetodontidae,Heniochus chrysostomus,5589,3,32.7,38,27
Chaetodontidae,Heniochus diphreutes,7769,2,32,34,30
Chanidae,Chanos chanos,80,,10,10,
Chanidae,Chanos chanos,80,,43.5,52,37
Cirrhitidae,Neocirrhites armatus,5832,1,48,48,
Cirrhitidae,Oxycirrhites typus,5833,3,69,73,62
Cirrhitidae,Paracirrhites arcatus,5835,1,49.7,55,46
Clinidae,Clinidae sp6,#N/A,2,20,20,20
Clinidae,Clinitrachus argentatus,1793,53,26.2,29,23
Clinidae,Clinitrachus argentatus,1793,,26.5,26.5,
Clinidae,Heterostichus rostratus,3728,,,,
Clinidae,Heterostichus rostratus,3728,,37,37,
Clinidae,Heterostichus rostratus,3728,,,,
Clupeidae,Clupea harengus,24,,160,160,
Clupeidae,Clupea harengus,24,,160.6,550,47
Clupeidae,Sardina pilchardus,1350,,40,40,
Clupeidae,Sardinops sagax,1477,,42,42,
Congridae,Conger conger,301,,228,228,
Congridae,Conger oceanicus,300,,92,92,
Cottidae,Artedius lateralis,4048,,51,60,41
Cottidae,Leptocottus armatus,4112,,60,60,
Cottidae,Oligocottus maculosus,4128,,,,
Cottidae,Scorpaenichthys marmoratus,4140,,,,
Cynoglossidae,Cynoglossidae sp.,#N/A,5,48.4,56,43
Dactylopaenidae,Dactyloptena orientalis,4485,5,43.4,48,39
Dactylopteridae,Dactylopterus volitans,1021,1,24,24,24
Blennioidei,Dactyloscopus crossotus,3698,10,19.7,23,17
Blennioidei,Gillellus greyae,3700,4,28.5,32,25
Blennioidei,Gillellus uranidea,3702,10,20.9,31,17
Gobiidae,Eleotris acanthopoma,11794,,121,121,
Engraulidae,Anchoa lamprotaenia,1688,,34,34,
Engraulidae,Anchoa lamprotaenia,1688,,34,34,
Engraulidae,Anchoa mitchilli,545,,32,32,
Engraulidae,Anchoa mitchilli,545,,32.4,49,21
Engraulidae,Engraulis encrasicolus,66,,37,37,
Engraulidae,Engraulis japonicus,1663,,47,47,
Engraulidae,Engraulis mordax,1664,,35,35,
Engraulidae,Engraulis mordax,1664,,34.8,34.8,
Engraulidae,Engraulis mordax,1664,,35,51,24
Engraulidae,Engraulis ringens,4,,74,74,
Fistulariidae,Fistularia commersonii,5444,4,46,48,42
Gadidae,Gadus morhua,69,,100,100,
Gadidae,Gadus morhua,69,,100.9,247,41
Gadidae,Melanogrammus aeglefinus,1381,,127,127,
Gadidae,Melanogrammus aeglefinus,1381,,127.7,460,35
Gadidae,Merluccius productus,326,,88,88,
Gadidae,Theragra chalcogramma,318,,108,108,
Gadidae,Theragra chalcogramma,318,,108.3,276,42
Gasterosteidae,Gasterosteus aculeatus aculeatus,2420,,30,30,
Gobiesocidae,Apletodon dentatus dentatus,9196,14,13.9,17,12
Gobiesocidae,Apletodon dentatus dentatus,9196,21,14.4,15,13
Gobiesocidae,Apletodon dentatus dentatus,9196,,15,15,
Gobiesocidae,Apletodon incognitus,51745,20,14.1,15,12
Gobiesocidae,Diplecogaster bimaculata bimaculata,64,11,11.8,14,10
Gobiesocidae,Gouania willdenowi,50846,23,13.1,17,11
Gobiesocidae,Gouania willdenowi,50846,,17,17,
Gobiesocidae,Lepadogaster candolii,640,4,14.3,15,14
Gobiesocidae,Lepadogaster candolii,640,12,13.2,15,12
Gobiesocidae,Lepadogaster candolii,640,,13,13,
Gobiesocidae,Lepadogaster lepadogaster,643,13,14.9,18,11
Gobiesocidae,Opeatogenys gracilis,55730,5,14.6,16,13
Gobiidae,Amblygobius phalaena,7198,18,23,45,24
Gobiidae,Amblygobius phalaena,7198,19,17,34,20
Gobiidae,Amblygobius phalaena,7198,,19,19,
Gobiidae,Awaous melanocephalus,6595,,80,80,
Gobiidae,Barbulifer ceuthoecus,3834,10,39.2,62,25
Gobiidae,Bathygobius coalitus,25423,,40,50,32
Gobiidae,Bathygobius soporator,3837,,29,29,
Gobiidae,Chromogobius britoi,58692,3,19.3,22,16
Gobiidae,Chromogobius britoi,58692,,19,19,
Gobiidae,Clevelandia ios,3840,,30,30,
Gobiidae,Coryphopterus glaucofraenum,3844,,26.8,26.8,
Gobiidae,Coryphopterus glaucofraenum,3844,,26.8,26.8,
Gobiidae,Coryphopterus glaucofraenum,3844,10,22.1,25,19
Gobiidae,Coryphopterus kuna,63493,,63,63,
Gobiidae,Coryphopterus kuna,63493,6,59.7,74,45
Gobiidae,Elacatinus evelynae,16640,92,22.3,22.37715033,
Gobiidae,Elacatinus macrodon,3875,10,28.7,40,26
Gobiidae,Elacatinus oceanops,3876,,28,28,
Gobiidae,Elacatinus oceanops,3876,1,32,32,32
Gobiidae,Elacatinus randalli,23731,1,38,38,38
Gobiidae,Eviota melasma,7267,,26.2,26.2,
Gobiidae,Eviota queenslandica,7273,,24.2,24.2,
Gobiidae,Eviota sigillata,7276,,24.7,24.7,
Gobiidae,Gnatholepis cauerensis,9950,6,39.8,45,29
Gobiidae,Gnatholepis thompsoni,3855,,89,89,
Gobiidae,Gnatholepis thompsoni,3855,,90.5,90.5,
Gobiidae,Gnatholepis thompsoni,3855,,60,60,
Gobiidae,Gnatholepis thompsoni,3855,10,52.6,74,39
Gobiidae,Gobiidae sp12,None,1,31,31,31
Gobiidae,Gobiodon sp.1,None,1,22,22,22
Gobiidae,Gobiodon sp.2,None,4,29.8,38,27
Gobiidae,Gobiodon sp.3,None,1,40,40,40
Gobiidae,Gobiosoma bosc,3870,,31,31,
