"","x"
"1",0.0315
"2",0.0227
"3",0.0222
"4",0.0202
"5",0.02
"6",0.0187
"7",0.018
"8",0.0174
"9",0.0164
"10",0.0154
"11",0.0145
"12",0.014
"13",0.0133
"14",0.0133
"15",0.013
"16",0.0125
"17",0.0115
"18",0.011
"19",0.011
"20",0.0102
"21",0.01
"22",0.0097
"23",0.0096
"24",0.0092
"25",0.0091
"26",0.0091
"27",0.0084
"28",0.0082
"29",0.008
"30",0.0079
"31",0.0076
"32",0.0076
"33",0.0075
"34",0.0074
"35",0.0071
"36",0.0069
"37",0.0068
"38",0.0068
"39",0.0067
"40",0.0067
"41",0.0067
"42",0.0066
"43",0.0064
"44",0.0063
"45",0.0063
"46",0.0062
"47",0.006
"48",0.0059
"49",0.0059
"50",0.0058
"51",0.0057
"52",0.0056
"53",0.0054
"54",0.0052
"55",0.0051
"56",0.0051
"57",0.0047
"58",0.0047
"59",0.0046
"60",0.0045
"61",0.0045
"62",0.0045
"63",0.0044
"64",0.0044
"65",0.0043
"66",0.0043
"67",0.0042
"68",0.0042
"69",0.0041
"70",0.0039
"71",0.0038
"72",0.0038
"73",0.0038
"74",0.0038
"75",0.0038
"76",0.0037
"77",0.0037
"78",0.0037
"79",0.0037
"80",0.0036
"81",0.0036
"82",0.0035
"83",0.0035
"84",0.0034
"85",0.0034
"86",0.0034
"87",0.0034
"88",0.0034
"89",0.0033
"90",0.0033
"91",0.0033
"92",0.0032
"93",0.0032
"94",0.0031
"95",0.0031
"96",0.0031
"97",0.003
"98",0.003
"99",0.0029
"100",0.0029
"101",0.0028
"102",0.0028
"103",0.0028
"104",0.0027
"105",0.0027
"106",0.0026
"107",0.0026
"108",0.0026
"109",0.0026
"110",0.0026
"111",0.0026
"112",0.0024
"113",0.0024
"114",0.0024
"115",0.0024
"116",0.0023
"117",0.0023
"118",0.0023
"119",0.0023
"120",0.0023
"121",0.0022
"122",0.0022
"123",0.0021
"124",0.0021
"125",0.0021
"126",0.0021
"127",0.0021
"128",0.0021
"129",0.0021
"130",0.0021
"131",0.002
"132",0.002
"133",0.002
"134",0.002
"135",0.0019
"136",0.0019
"137",0.0019
"138",0.0019
"139",0.0019
"140",0.0019
"141",0.0019
"142",0.0019
"143",0.0018
"144",0.0018
"145",0.0018
"146",0.0018
"147",0.0017
"148",0.0017
"149",0.0017
"150",0.0017
"151",0.0017
"152",0.0017
"153",0.0015
"154",0.0015
"155",0.0015
"156",0.0015
"157",0.0015
"158",0.0014
"159",0.0014
"160",0.0014
"161",0.0014
"162",0.0013
"163",0.0013
"164",0.0013
"165",0.0013
"166",0.0013
"167",0.0013
"168",0.0012
"169",0.0012
"170",0.0012
"171",0.0012
"172",0.0012
