video_id,site_id,region,island,coral_cover,duration,genus.spp,genus,species,max_n,observer
BIOT_7097_NELS_052_RIG3,52,nelsons_island,east_of_nelsons_island,55,30:00:00,variola.albimarginata,variola,albimarginata,2,li
BIOT_7097_SALO_043_ANG_RIG4,43,salomon,ile_anglaise,15,35:43:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,1,marconi
BIOT_7097_PBAN_027_EAST_RIG9,27,peros_banhos,north_of_petite_ile_coquillage,30,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,1,marconi
BIOT_7097_NELS_055_RIG6,55,nelsons_island,east_of_nelsons_island,12,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,5,marconi
BIOT_7097_NBRO_065_RIG6,65,brothers,north_brother,85,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,0,finch
BIOT_7097_EGMT_086_RIG6,86,egmont,ile_des_rats,90,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,4,finch
BIOT_7097_EAGL_074_RIG5,74,eagle_island,eagle_island,0,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,0,finch
BIOT_7097_EAGL_073_RIG4,73,eagle_island,eagle_island,20,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,1,fischer
BIOT_7097_EGMT_087_RIG5,87,egmont,ile_lubine,85,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,5,fischer
BIOT_7097_PBAN_008_SOUTH_RIG4,8,peros_banhos,ile_fouquet,90,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,2,fischer
BIOT_7097_SALO_047_MAP_RIG5,47,salomon,ile_de_la_passe_to_ile_mapou,20,35:22:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,3,bunholi
BIOT_7097_NBRO_068_RIG4,68,brothers,north_brother,30,35:22:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,1,bunholi
BIOT_7097_EGMT_081_RIG2,81,egmont,ile_des_rats,15,35:22:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,7,bunholi
BIOT_7097_SALO_044_ANG_RIG5,44,salomon,ile_anglaise,85,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,1,portice
BIOT_7097_NBRO_062_RIG3,62,brothers,north_brother,8,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,1,portice
BIOT_7097_NELS_051_RIG2,51,nelsons_island,east_of_nelsons_island,30,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,5,hensch
BIOT_7097_NBRO_063_RIG4,63,brothers,north_brother,20,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,3,armada
BIOT_7097_EGMT_088_RIG4,88,egmont,ile_lubine,50,30:00:00,carcharhinus.amblyrhynchos,carcharhinus,amblyrhynchos,2,armada
