"video_id","time_start","obs_duration","island","site","pct_coral","species","max_n","observer","duration","region","depth","lat","long"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Melichthys niger",8,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Aethaleoperca rogaa",2,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Carcharhinus amblyrhynchos",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Cephalopholis argus",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Epinephelus polyphekadion",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Plectropomus laevis",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Triaenodon obesus",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_1","10:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Caranx melampygus",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_2","0:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Carcharhinus melanopterus",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_2","0:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Aprion virescens",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_2","0:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Balistoides viridescens",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_SALO_049_MAP_RIG3_L_2","0:00","26:34","Ile de la Passe to Ile Mapou",49,35,"Nebrius ferrugineus",1,"Hannah Rempel",1594s (~26.57 minutes),"Salomon",5.3,"05 18.405","72 15.892"
"BIOT_7097_NBRO_061_RIG2_L_1","10:00","30:00","North Brother",61,25,"Melichthys niger",3,"Hannah Rempel",1800s (~30 minutes),"Brothers",8.8,"06 08.336","71 30.386"
"BIOT_7097_NBRO_061_RIG2_L_1","10:00","30:00","North Brother",61,25,"Lethrinus microdon",7,"Hannah Rempel",1800s (~30 minutes),"Brothers",8.8,"06 08.336","71 30.386"
"BIOT_7097_NBRO_061_RIG2_L_1","10:00","30:00","North Brother",61,25,"Lutjanus bohar",3,"Hannah Rempel",1800s (~30 minutes),"Brothers",8.8,"06 08.336","71 30.386"
"BIOT_7097_NBRO_061_RIG2_L_2","10:00","30:00","North Brother",61,25,"Plectropomus laevis",1,"Hannah Rempel",1800s (~30 minutes),"Brothers",8.8,"06 08.336","71 30.386"
"BIOT_7097_NBRO_061_RIG2_L_3","10:00","30:00","North Brother",61,25,"Aethaloperca rogaa",1,"Hannah Rempel",1800s (~30 minutes),"Brothers",8.8,"06 08.336","71 30.386"
"BIOT_7097_NBRO_061_RIG2_L_3","10:00","30:00","North Brother",61,25,"Balistapus undulatus",1,"Hannah Rempel",1800s (~30 minutes),"Brothers",8.8,"06 08.336","71 30.386"
"BIOT_7097_EGMT_084_RIG5_L1","10:00","30:00","Ile Des Rats",84,10,"Lutjanus bohar",18,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L1","10:00","30:00","Ile Des Rats",84,10,"Variola louti",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L1","10:00","30:00","Ile Des Rats",84,10,"Carcharhinus amblyrhynchos",2,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L1","10:00","30:00","Ile Des Rats",84,10,"Lethrinus microdon",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L1","10:00","30:00","Ile Des Rats",84,10,"Plectropomus laevis",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Triaenodon obesus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Caranx melampygus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Variola louti",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Cephalopholis argus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Balistapus undulatus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EAGL_071_RIG2_L_1","0:00","30:00","Ile Des Rats",84,10,"Lutjanus gibbus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Plectropomus laevis",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Lethrinus enigmaticus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Lutjanus bohar",7,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Melichthys niger",5,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Carcharhinus amblyrhynchos",3,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Aethaleoperca rogaa",1,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
