Site,Seine No.,Species ID,Weight,Total Length ,Fork Length ,Standard Length,Max Eye Diameter,Mouth Gape Width,Mouth Gape Height,Body Depth,Body Width,Upper Jaw Length,Lower Jaw Length,Head Length,Caudal Peduncle Depth,Length of Longest Dorsal Spine,Length of Longest Pectoral Fin
Bridge,1,Mugil cephalus,41.1,160,145,128,3,7,4,30,15,6,7,32,12,18,23
Bridge,1,Fundulus similis,8.927,85,85,72,2.5,6,4.5,18.5,12,4.5,4.5,23,9.5,13,14
Bridge,1,Syngnathus scovelli,0.858,105,105,98,1.5,1,1.5,11,3,1.5,2,15,1,6.5,3
Bridge,1,Lagodon rhomboides,1.129,51,42,56,3,3,5,18,55,5,5,13.5,4.5,6,10
Bridge,1,Micropogonias undulatus,3.291,66,66,53,2,5,5,15,7,6,4,11,6,11,11
Bridge,1,Ctenogobious boleosoma,0.552,41,41,39,1,3.5,4,6,5,3,2,8.5,3,6,8
Bridge,2,Fundulus similis,4.72,70,69,58,5,6,8,15,11,5,6,13,9,11,10
Channel,1,Lagodon rhomboides,1.899,46,43,37,1.5,1.55,2,14,4,5,5,10,3,5,9
Channel,1,Lagodon rhomboides,0.667,33,32,26.5,2,1,1.5,9,1.5,1,2,8,2,2.5,4
Channel,1,Fundulus similis,5.771,77,77,65,1.5,3,4,13,7,2,3,18,6,10,10
Channel,1,Fundulus similis,5.35,76,76,59,2.5,3,3,13,8,2.5,4,15,6,12,13
Channel,1,Micropogonias undulatus,0.902,40,40,29,1,1,4,8.5,2,1,3,9,1.5,4,4
Channel,1,Ctenogobious boleosoma,0.358,33,33,26,1,1,2,4,2,1,0.5,6,1,5,3
Channel,1,Fundulus similis,9.32,88,88,76,3,3.5,3.5,16,11,1,2,17.5,6.5,0.9,13
Channel,1,Fundulus similis,5.854,73,73,63,2.5,3,2,14,9,2,2.5,18,7,9,9
Channel,2,Menidia beryllina,7.515,98,91,82,6,4,5,15,6,4,6,20,7,12,17.5
Channel,2,Fundulus similis,6.035,78,78,62,4.5,6,6,70,11,3,4,20,13,10.5,15
Channel,2,Menidia beryllina,5.482,87,78,60,7,7.5,7,14,9,4,3.5,16,7,8,13
Channel,2,Fundulus similis,7.192,79,79,63,5.5,7.5,7.5,16.5,12,3,4,23,7.5,9.5,15
Channel,2,Menidia beryllina,5.435,86,80,68,6,7,7.5,13.5,7.5,4.5,3.5,17,6,10,17
Channel,2,Menidia beryllina,2.949,70,64,57,5,6,5.5,11,7,2.5,3,14,5,8,12
Channel,2,Menidia beryllina,3.717,78,73,63,5,7,6,12,7,3,4,15,6,9,11
Channel,2,Fundulus similis,5.548,73,73,58.5,5.5,5,5.5,16.5,11,3,4.5,19,7,8.5,13
Channel,2,Fundulus similis,4.721,69,69,54,4.5,6,6.5,13,9,3,4,19,7,10,10.5
Channel,2,Fundulus similis,5.515,75.5,75.5,59,4.5,7,6.5,12,10,3.5,4.5,19,7.5,12,12
Channel,2,Lagodon rhomboides,16.9418,102,92,79,7,4,9,35,12,6,5,27,7,12,26
Channel,2,Lagodon rhomboides,5.8761,71,65,54,6,4,8,24,9,6,5,18,7,7,16
Channel,2,Lagodon rhomboides,5.2711,68,63,51,5,4,7,24,9,5,4,16,6,7,15
Channel,2,Micropogonias undulatus,3.8396,65,62,51,4,5,7,19,8,6,4,16,6,9,11
Channel,2,Micropogonias undulatus,3.0303,60,57,47,5,4,9,19,7,6,5,16,6,7,12
Channel,5,Fundulus similis,4.165,65,65,54,3,3,3,12,7,2,3,17,7,6,10
Channel,5,Lagodon rhomboides,4.093,60,58,44,5,2.5,4,20,6,5,4,15,6,7,14
Channel,5,Menidia beryllina,3.675,78,72,58,5,7,6,10,7,3.5,3,15.5,5.5,10.5,13
Channel,5,Lagodon rhomboides,2.241,48,45,38,5,4.5,6,12,7,3.5,3,13.5,4,6,11.5
Channel,5,Menidia beryllina,4.219,83,75,64,5.5,6.5,7,12,7.5,4,3,17.5,6,10,8
Channel,5,Sciaenops ocellatus,14.392,113,113,85,9,9.5,9,20,12,12,9,30,9,15,17
Channel,4,Fundulus similis,5.696,74,74,56,2,5,5,15,10,3,4,19,7,8,10
Channel,4,Anchoa mitchilli,0.318,32,27,25,1,1,1,4,1,1,1,8,2,2,5
Channel,4,Lagodon rhomboides,4.528,64,58,49,1,4,5,20,6,3,3,18,4,8,11
Channel,4,Fundulus similis,4.156,70,70,60,1,5,3,13,8,2,3,15,6,6,9
Channel,4,Syngnathus louisianae,0.463,114,114,109,1,1,1,1,2,0.25,0.25,16,1,3,0.25
Channel,4,Ctenogobious boleosoma,0.52,39,39,34,1,1,1,5,3,1,1,7,1,3,4
Channel,4,Micropogonias undulatus,2.474,56,56,45,1,2,3,14,5,3,2,13,4,7,6
Channel,4,Fundulus similis,6.607,76,76,63,3,4,9,14,7,1,3,14,5,9,8
Channel,4,Micropogonias undulatus,2.278,58,58,43,1,4,2,12,3,3,2,13,3,4,6
Channel,4,Lagodon rhomboides,2.382,50,45,37,2,2,5,15,2,1,1,8,3,6,8
Channel,4,Micropogonias undulatus,2.186,54,54,44,3,2,3,14,3,2,1,9,2,6,6
Channel,4,Fundulus similis,2.693,56,56,46,2,2,1,10,6,1,1,8,5,10,8
Channel,4,Anchoa mitchilli,0.18,24,24,20,0.5,1,1,3,1,1,1,3,1,0.25,1
Channel,4,Lagodon rhomboides,1.969,48,45,38,1,2,3,15,4,2,1,8,3,5,10
