Name,Home_range,Diel_activity,Size_group,Level_water,Body_shape,Trophic_level,Diet,Spawning
Anchoa.mitchilli,vmob,day,largeg,low,fusiform,3.5,pk,pelagic
Erotelis.smaragdus,sed,day,sol,bottom,elongated,4,fc,demersal
Leiostomus.xanthurus,vmob,both,smallg,bottom,fusiform,3.6,im,pelagic
Ctenogobious.boleosoma,sed,day,sol,bottom,elongated,3.3,im,demersal
Lagodon.rhomboides,mob,day,smallg,low,fusiform,4.4,im,pelagic
Menidia.beryllina,vmob,day,largeg,high,fusiform,3.2,pk,demersal
Mugil.cephalus,vmob,both,largeg,high,fusiform,2,hd,pelagic
Micropogonias.undulatus,mob,both,medg,low,fusiform,3.4,im,pelagic
Symphurus.plagiusa,sed,day,sol,bottom,depressed,3.1,im,pelagic
Syngnathus.louisianae,sed,day,sol,bottom,elongated,3.4,im,live
Syngnathus.scovelli,sed,day,sol,bottom,elongated,3.3,im,live
Synodus.foetens,sed,day,sol,bottom,elongated,4.5,fc,pelagic
Peralichthys.albigutta,sed,day,sol,bottom,depressed,4.3,fc,pelagic
Citharichthys.spilopterus,sed,day,sol,bottom,depressed,3.6,fc,pelagic
Sciaenops.ocellatus,mob,day,smallg,low,fusiform,3.4,im,pelagic
Fundulus.similis,sed,day,smallg,bottom,fusiform,3.2,im,demersal
Fundulus.xenicus,sed,day,smallg,bottom,fusiform,3.2,im,demersal
