FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.403353,403353,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Acanthurus grammoptilus,2,4,GJE,POINT (145.45 -14.66)
M1_DATA.403354,403354,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Acanthurus nigricauda,2,3,GJE,POINT (145.45 -14.66)
M1_DATA.403355,403355,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Acanthurus olivaceus,2,2,GJE,POINT (145.45 -14.66)
M1_DATA.403393,403393,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Ctenochaetus binotatus,1,15,GJE,POINT (145.45 -14.66)
M1_DATA.403394,403394,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Ctenochaetus binotatus,2,10,GJE,POINT (145.45 -14.66)
M1_DATA.403484,403484,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Zebrasoma scopas,1,2,GJE,POINT (145.45 -14.66)
M1_DATA.403485,403485,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Acanthuridae,Zebrasoma scopas,2,1,GJE,POINT (145.45 -14.66)
M1_DATA.403404,403404,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Blenniidae,Ecsenius bicolor,1,3,GJE,POINT (145.45 -14.66)
M1_DATA.403405,403405,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Blenniidae,Ecsenius stictus,1,1,GJE,POINT (145.45 -14.66)
M1_DATA.403422,403422,4000720,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD51,Watsons Bay north,-14.66,145.45,2010-06-27T14:00:00Z,3,Chordata,Actinopterygii,Blenniidae,Meiacanthus atrodorsalis,1,1,GJE,POINT (145.45 -14.66)
