Family,Genus,Species,Genspe,Size,Mobility,Activity,Schooling,Position,Diet
Labridae,Bolbometopon,muricatum,Bolbometopon.muricatum,6,3,1,4,2,3
Labridae,Calatomus,carolinus,Calatomus.carolinus,5,2,1,1,2,2
Labridae,Calotomus,spinidens,Calotomus.spinidens,3,2,1,1,2,2
Labridae,Calotomus,viridescens,Calotomus.viridescens,3,2,1,1,2,2
Labridae,Calotomus,zonarchus,Calotomus.zonarchus,4,2,1,1,2,2
Labridae,Cetoscarus,bicolor,Cetoscarus.bicolor,6,2,1,3,2,1
Labridae,Cetoscarus,ocellatus,Cetoscarus.ocellatus,6,2,1,3,2,1
Labridae,Chlorurus,atrilunula,Chlorurus.atrilunula,3,2,1,3,2,1
Labridae,Chlorurus,bleekeri,Chlorurus.bleekeri,4,2,1,3,2,1
Labridae,Chlorurus,bowersi,Chlorurus.bowersi,4,2,1,1,2,1
Labridae,Chlorurus,capistratoides,Chlorurus.capistratoides,4,2,1,3,2,1
Labridae,Chlorurus,cyanescens,Chlorurus.cyanescens,4,2,1,1,2,1
Labridae,Chlorurus,enneacanthus,Chlorurus.enneacanthus,4,2,1,4,2,1
Labridae,Chlorurus,frontalis,Chlorurus.frontalis,4,2,1,4,2,1
Labridae,Chlorurus,genazonatus,Chlorurus.genazonatus,4,2,1,3,2,1
Labridae,Chlorurus,gibbus,Chlorurus.gibbus,5,2,1,3,2,1
Labridae,Chlorurus,japanensis,Chlorurus.japanensis,4,2,1,3,2,1
Labridae,Chlorurus,microrhinos,Chlorurus.microrhinos,5,2,1,3,2,1
Labridae,Chlorurus,oedema,Chlorurus.oedema,4,2,1,3,2,1
Labridae,Chlorurus,perspicillatus,Chlorurus.perspicillatus,5,2,1,3,2,1
Labridae,Chlorurus,rhakoura,Chlorurus.rhakoura,4,2,1,4,2,1
Labridae,Chlorurus,sordidus,Chlorurus.sordidus,4,2,1,4,2,1
Labridae,Chlorurus,spilurus,Chlorurus.spilurus,4,2,1,4,2,1
Labridae,Chlorurus,strongylocephalus,Chlorurus.strongylocephalus,5,2,1,4,2,1
Labridae,Chlorurus,troschelii,Chlorurus.troschelii,4,2,1,3,2,1
Labridae,Cryptotomus,roseus,Cryptotomus.roseus,2,2,1,4,2,2
Labridae,Hipposcarus,harid,Hipposcarus.harid,5,2,1,4,2,1
Labridae,Hipposcarus,longiceps,Hipposcarus.longiceps,5,2,1,4,2,1
Labridae,Leptoscarus,vaigiensis,Leptoscarus.vaigiensis,4,2,1,1,2,2
Labridae,Scarus,altipinnis,Scarus.altipinnis,5,2,1,4,2,1
Labridae,Scarus,arabicus,Scarus.arabicus,4,2,1,1,2,1
Labridae,Scarus,caudofasciatus,Scarus.caudofasciatus,4,2,1,3,2,1
Labridae,Scarus,chameleon,Scarus.chameleon,4,2,1,1,2,1
Labridae,Scarus,coelestinus,Scarus.coelestinus,5,2,1,4,2,1
Labridae,Scarus,coeruleus,Scarus.coeruleus,6,2,1,4,2,1
Labridae,Scarus,collana,Scarus.collana,4,2,1,1,2,1
Labridae,Scarus,compressus,Scarus.compressus,5,2,1,1,2,1
Labridae,Scarus,dimidiatus,Scarus.dimidiatus,4,2,1,3,2,1
Labridae,Scarus,dubius,Scarus.dubius,4,2,1,4,2,1
Labridae,Scarus,falcipinnis,Scarus.falcipinnis,5,2,1,1,2,1
Labridae,Scarus,ferrugineus,Scarus.ferrugineus,4,2,1,3,2,1
Labridae,Scarus,festivus,Scarus.festivus,4,2,1,1,2,1
Labridae,Scarus,flavipectoralis,Scarus.flavipectoralis,4,2,1,1,2,1
Labridae,Scarus,forsteni,Scarus.forsteni,5,2,1,1,2,1
Labridae,Scarus,frenatus,Scarus.frenatus,4,2,1,3,2,1
Labridae,Scarus,fuscocaudalis,Scarus.fuscocaudalis,3,2,1,3,2,1
Labridae,Scarus,fuscopurpureus,Scarus.fuscopurpureus,4,2,1,4,2,1
Labridae,Scarus,ghobban,Scarus.ghobban,6,2,1,1,2,1
Labridae,Scarus,globiceps,Scarus.globiceps,4,2,1,4,2,1
Labridae,Scarus,guacamaia,Scarus.guacamaia,6,2,1,1,2,1
Labridae,Scarus,hoefleri,Scarus.hoefleri,5,2,1,1,2,1
Labridae,Scarus,hypselopterus,Scarus.hypselopterus,4,2,1,3,2,1
Labridae,Scarus,iseri,Scarus.iseri,4,2,1,4,2,1
Labridae,Scarus,koputea,Scarus.koputea,4,2,1,1,2,1
Labridae,Scarus,longipinnis,Scarus.longipinnis,4,2,1,1,2,1
Labridae,Scarus,maculipinna,Scarus.maculipinna,3,2,1,3,2,1
Labridae,Scarus,niger,Scarus.niger,4,2,1,3,2,1
Labridae,Scarus,oviceps,Scarus.oviceps,4,2,1,3,2,1
Labridae,Scarus,ovifrons,Scarus.ovifrons,5,2,1,4,2,1
Labridae,Scarus,perrico,Scarus.perrico,5,2,1,4,2,1
Labridae,Scarus,persicus,Scarus.persicus,4,2,1,4,2,1
Labridae,Scarus,prasiognathos,Scarus.prasiognathos,5,2,1,4,2,1
Labridae,Scarus,psittacus,Scarus.psittacus,3,2,1,4,2,1
Labridae,Scarus,quoyi,Scarus.quoyi,4,2,1,4,2,1
Labridae,Scarus,rivulatus,Scarus.rivulatus,4,2,1,4,2,1
Labridae,Scarus,rubroviolaceus,Scarus.rubroviolaceus,5,2,1,1,2,1
Labridae,Scarus,russelii,Scarus.russelii,5,2,1,1,2,1
Labridae,Scarus,scaber,Scarus.scaber,4,2,1,3,2,1
Labridae,Scarus,schlegeli,Scarus.schlegeli,4,2,1,4,2,1
Labridae,Scarus,spinus,Scarus.spinus,3,2,1,4,2,1
Labridae,Scarus,taeniopterus,Scarus.taeniopterus,4,2,1,4,2,1
Labridae,Scarus,tricolor,Scarus.tricolor,3,2,1,1,2,1
Labridae,Scarus,trispinosus,Scarus.trispinosus,4,2,1,1,2,1
Labridae,Scarus,vetula,Scarus.vetula,5,2,1,3,2,1
Labridae,Scarus,viridifucatus,Scarus.viridifucatus,4,2,1,1,2,1
Labridae,Scarus,xanthopleura,Scarus.xanthopleura,5,2,1,1,2,1
Labridae,Scarus,zelindae,Scarus.zelindae,4,2,1,1,2,1
Labridae,Scarus,zufar,Scarus.zufar,4,2,1,1,2,1
Labridae,Sparisoma,amplum,Sparisoma.amplum,4,2,1,1,2,1
Labridae,Sparisoma,atomarium,Sparisoma.atomarium,3,2,1,3,2,1
Labridae,Sparisoma,aurofrenatum,Sparisoma.aurofrenatum,3,2,1,3,2,1
Labridae,Sparisoma,axillare,Sparisoma.axillare,4,2,1,4,2,1
Labridae,Sparisoma,chrysopterum,Sparisoma.chrysopterum,4,2,1,4,2,1
Labridae,Sparisoma,frondosum,Sparisoma.frondosum,4,2,1,4,2,1
Labridae,Sparisoma,rubripinne,Sparisoma.rubripinne,4,2,1,4,2,1
Labridae,Sparisoma,viride,Sparisoma.viride,5,2,1,3,2,1
Acanthuridae,Acanthurus,achilles,Acanthurus.achilles,3,2,1,1,2,1
Acanthuridae,Acanthurus,albipectoralis,Acanthurus.albipectoralis,4,2,1,3,2,5
Acanthuridae,Acanthurus,auranticavus,Acanthurus.auranticavus,4,2,1,4,2,1
Acanthuridae,Acanthurus,bahianus,Acanthurus.bahianus,4,2,1,3,2,1
Acanthuridae,Acanthurus,bariene,Acanthurus.bariene,4,2,1,1,2,1
Acanthuridae,Acanthurus,blochii,Acanthurus.blochii,4,2,1,3,2,1
Acanthuridae,Acanthurus,chirurgus,Acanthurus.chirurgus,4,2,1,3,2,1
Acanthuridae,Acanthurus,chronixis,Acanthurus.chronixis,3,2,1,1,2,1
Acanthuridae,Acanthurus,coeruleus,Acanthurus.coeruleus,4,2,1,3,2,1
Acanthuridae,Acanthurus,dussumieri,Acanthurus.dussumieri,5,2,2,1,2,1
Acanthuridae,Acanthurus,fowleri,Acanthurus.fowleri,4,2,1,1,2,1
Acanthuridae,Acanthurus,gahhm,Acanthurus.gahhm,4,2,1,4,2,1
Acanthuridae,Acanthurus,grammoptilus,Acanthurus.grammoptilus,4,2,1,4,2,1
Acanthuridae,Acanthurus,guttatus,Acanthurus.guttatus,3,2,1,4,2,1
Acanthuridae,Acanthurus,japonicus,Acanthurus.japonicus,3,2,1,1,2,1
Acanthuridae,Acanthurus,leucocheilus,Acanthurus.leucocheilus,4,2,1,1,2,1
Acanthuridae,Acanthurus,leucopareius,Acanthurus.leucopareius,3,2,1,3,2,1
Acanthuridae,Acanthurus,leucosternon,Acanthurus.leucosternon,5,2,1,4,2,1
Acanthuridae,Acanthurus,lineatus,Acanthurus.lineatus,4,2,1,1,2,1
Acanthuridae,Acanthurus,maculiceps,Acanthurus.maculiceps,4,2,1,1,2,1
Acanthuridae,Acanthurus,mata,Acanthurus.mata,4,2,1,3,2,5
Acanthuridae,Acanthurus,monroviae,Acanthurus.monroviae,4,2,1,3,2,1
Acanthuridae,Acanthurus,nigricans,Acanthurus.nigricans,3,2,1,1,2,1
Acanthuridae,Acanthurus,nigricauda,Acanthurus.nigricauda,4,2,1,1,2,1
Acanthuridae,Acanthurus,nigrofuscus,Acanthurus.nigrofuscus,3,2,1,1,2,1
Acanthuridae,Acanthurus,nigroris,Acanthurus.nigroris,3,2,1,1,2,1
Acanthuridae,Acanthurus,nubilus,Acanthurus.nubilus,3,2,1,1,2,5
Acanthuridae,Acanthurus,olivaceus,Acanthurus.olivaceus,4,2,1,1,2,1
Acanthuridae,Acanthurus,polyzona,Acanthurus.polyzona,2,2,1,4,2,1
Acanthuridae,Acanthurus,pyroferus,Acanthurus.pyroferus,3,2,1,1,2,1
Acanthuridae,Acanthurus,randalli,Acanthurus.randalli,3,2,1,4,2,1
Acanthuridae,Acanthurus,reversus,Acanthurus.reversus,3,2,1,1,2,1
Acanthuridae,Acanthurus,sohal,Acanthurus.sohal,4,2,1,1,2,1
Acanthuridae,Acanthurus,tennentii,Acanthurus.tennentii,4,2,1,1,2,1
Acanthuridae,Acanthurus,thompsoni,Acanthurus.thompsoni,3,2,1,1,2,5
