Family,Genspe,bodydepth,headlength,peduncle,snouthlength,eyediameter
Acanthuridae,Acanthurus.achilles,0.098504108,0.231576579,-0.038893615,0.487779681,0.069172106
Acanthuridae,Acanthurus.albipectoralis,0.001397261,0.240534979,-0.062400373,0.440262332,0.000622937
Acanthuridae,Acanthurus.auranticavus,0.034632323,0.226319937,-0.035120617,0.538649025,-0.008570787
Acanthuridae,Acanthurus.blochii,0.075265132,0.253889567,-0.027056005,0.478221688,-0.004914155
Acanthuridae,Acanthurus.dussumieri,0.100102812,0.244387701,-0.04640333,0.566186675,0.015159797
Acanthuridae,Acanthurus.fowleri,0.045968691,0.224499358,-0.061972213,0.595056343,-0.00534945
Acanthuridae,Acanthurus.guttatus,0.219627615,0.3307194,-0.048279949,0.404397723,-0.001143462
Acanthuridae,Acanthurus.leucocheilus,0.05776625,0.196320364,-0.052347827,0.563361215,0.093091378
Acanthuridae,Acanthurus.leucopareius,0.131249007,0.247308643,-0.053177446,0.489693768,0.005187776
Acanthuridae,Acanthurus.lineatus,0.032690378,0.237290874,-0.002442765,0.463860815,-0.0290235
Acanthuridae,Acanthurus.maculiceps,0.053387997,0.250755287,-0.036200666,0.584509466,0.018593022
Acanthuridae,Acanthurus.mata,-0.001236302,0.220641544,-0.072496653,0.485080074,0.030302307
Acanthuridae,Acanthurus.nigricans,0.088789707,0.25059159,-0.046454921,0.489719917,0.033240247
Acanthuridae,Acanthurus.nigricauda,0.018217346,0.215753201,-0.028618715,0.56841338,0.030710334
Acanthuridae,Acanthurus.nigrofuscus,0.008081976,0.247835635,-0.00504265,0.396850415,0.019229897
Acanthuridae,Acanthurus.nigroris,0.022255879,0.215094346,-0.024282795,0.503032056,0.011589443
Acanthuridae,Acanthurus.nubilis,0.060037326,0.199479199,-0.056276788,0.51651255,0.070992615
Acanthuridae,Acanthurus.olivaceus,0.004994097,0.222456453,-0.031244665,0.509483228,0.014106835
Acanthuridae,Acanthurus.pyroferus,0.046525544,0.236911669,-0.004389189,0.500501398,0.027316352
Acanthuridae,Acanthurus.thompsoni,-0.019806295,0.202811689,-0.015549517,0.410379734,0.057437303
Acanthuridae,Acanthurus.triostegus,0.043244197,0.270297431,-0.045323225,0.432437628,0.005491011
Acanthuridae,Acanthurus.xanthopterus,0.076476028,0.257561204,-0.067374471,0.521492034,6.25E-05
Labridae,Bolbometopon.muricatum,0.030492249,0.302889811,0.047603052,0.312379506,0.027946542
Labridae,Calotomus.carolinus,-0.030500119,0.266251431,0.107883868,0.327887127,-0.020281228
Labridae,Calotomus.spinidens,-0.114477118,0.286003486,0.133885683,0.284133489,-0.055729007
Labridae,Cetoscarus.ocellatus,0.000991683,0.352780953,0.071399653,0.428246014,-0.032787833
Labridae,Chlorurus.bleekeri,-0.067022117,0.298477335,0.13798552,0.365253157,-0.04817344
Labridae,Chlorurus.bowersi,-0.031201832,0.314474026,0.109735026,0.373296768,-0.086073832
Labridae,Chlorurus.frontalis,-0.003947736,0.30481093,0.078797204,0.365125119,-0.019930629
Labridae,Chlorurus.japanensis,-0.04565522,0.294665377,0.127763225,0.365560171,-0.062592097
Labridae,Chlorurus.microrhinos,0.03228204,0.277485907,0.084373857,0.358910891,0.001787441
Labridae,Chlorurus.spilurus,-0.068665456,0.314362535,0.150176295,0.379117362,-0.061176361
Acanthuridae,Ctenochaetus.binotatus,0.038699869,0.282009441,0.010100004,0.451106662,0.029546405
Acanthuridae,Ctenochaetus.flavicauda,0.085208463,0.261357712,0.002292251,0.484538399,0.025962718
Acanthuridae,Ctenochaetus.hawaiiensis,0.110846921,0.242609867,-0.028929758,0.676806084,-0.01795469
Acanthuridae,Ctenochaetus.marginatus,0.083160918,0.21942281,-0.035319632,0.532608696,0.017204541
Acanthuridae,Ctenochaetus.striatus,0.043108328,0.263169968,-0.000893073,0.555009824,-0.024847244
Acanthuridae,Ctenochaetus.strigosus,0.07149081,0.262564745,-0.007078942,0.519708203,-0.035080189
Acanthuridae,Ctenochaetus.tominiensis,0.008810214,0.250226431,0.020598987,0.524514643,-0.046347247
Labridae,Hipposcarus.longiceps,0.022239926,0.337881179,-0.017492589,0.385857334,-0.01542324
Kyphosidae,Kyphosus.cinarescens,0.031378962,0.371543096,0.036173029,0.166403608,-0.042125221
Kyphosidae,Kyphosus.vaigiensis,0.065230714,0.35945905,-0.053789844,0.164409273,-0.035017615
Labridae,Leptoscarus.vaigiensis,-0.103949833,0.299063972,0.139063017,0.296928247,-0.044308584
Acanthuridae,Naso.annulatus,-0.041029,0.201979986,-0.125666362,0.526336176,0.079955112
