OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime
Salmacis bicolor,Salmacis bicolor,Temnopleuridae,Temnopleuroida,Echinoidea,Echinodermata,Salmacis,N,13,80,P,100,23
Eunice kobiensis,Eunice kobiensis,Eunicidae,Eunicida,Polychaeta,Annelida,Eunice,N,48.537522,-123,L,310,NA
Eunice valens,Leodice valens,Eunicidae,Eunicida,Polychaeta,Annelida,Leodice,N,48.537522,-123,L,310,NA
Ophryotrocha hartmanni,Ophryotrocha hartmanni,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,36.668419,-4,L,160,NA
Ophryotrocha labronica,Ophryotrocha labronica,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,40.840308,14,L,120,NA
Ophryotrocha bacci,Ophryotrocha baccii,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,61.614681,17,L,250,NA
Ophyotrocha maculata,Ophryotrocha maculata,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,58.403151,12,L,125,NA
Ophryotrocha diadema,Ophryotrocha diadema,Dorvilleidae,Eunicida,Polychaeta,Annelida,Ophryotrocha,N,33,-117,L,190,NA
Macrophiothrix lorioli,Macrophiothrix lorioli,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,166,23
Macrophiothrix belli,Macrophiothrix belli,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,L,406,3
Macrophiothrix longipeda,Macrophiothrix longipeda,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,155,14
Macrophiothrix rhabdota,Macrophiothrix rhabdota,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,230,6.88
Macrophiothrix nereidina,Macrophiothrix nereidina,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,L,266,2.95
Macrophiothrix koehleri,Macrophiothrix koehleri,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,P,147,32
Macrophiothrix caenosa,Macrophiothrix caenosa,Ophiotricidae,Ophiurida,Ophiuroidea,Echinodermata,Macrophiothrix,S,-14,145,L,242,5
Spirobranchus tricornis,Spirobranchus giganteus,Serpulidae,Sabellida,Polychaeta,Annelida,Spirobranchus,N,18,-67,P,83,NA
Diopatra cuprea,Diopatra cuprea,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,41.524773,-71,P,220,NA
Autolytus fasciatus,Proceraea fasciata,Syllidae,Phyllodocida,Polychaeta,Annelida,Proceraea,N,18,-67,P,100,NA
Elysia stylifera,Elysia stylifera,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,S,-27,153,P,71,NA
Asthenosoma ijimai,Asthenosoma ijimai,Echinothuriidae,Echinothurioida,Echinoidea,Echinodermata,Asthenosoma,N,34,132,L,1200,21
Crepidula plana,Crepidula plana,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,41,-70,P,136,13
Haploscoloplos fragilis,Leitoscoloplos fragilis,Orbiniidae,,Polychaeta,Annelida,Leitoscoloplos,S,-33,151.159515,L,150,4
Chelidonura varians,Chelidonura varians,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,55,NA
Chelidonura sandrana,Chelidonura sandrana,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,45,NA
Chelidonura fulvipunctat,Chelidonura fulvipunctata,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,60,NA
Chelidonura pallida,Chelidonura pallida,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Chelidonura,S,-14,145,P,55,NA
Melanochlamys sp.,Melanochlamys,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Melanochlamys,S,-14,145,P,110,NA
Melanochlamys diomedea,Melanochlamys diomedea,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Melanochlamys,N,48,-123,P,53,NA
Melanochlamys spp.,Melanochlamys,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Melanochlamys,S,-14,145,P,105,NA
Navanax inermis,Navanax inermis,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Navanax,N,25,-111,P,100,NA
Philinopsis cyanea,Philinopsis speciosa,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,140,NA
Philinopsis gardineri,Philinopsis gardineri,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,95,NA
Philinopsis lineolata,Philinopsis lineolata,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,65.25,NA
Philinopsis pilsbryi,Philinopsis pilsbryi,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,70,NA
Philinopsis reticulata,Philinopsis reticulata,Aglajidae,Cephalaspidea,Gastropoda,Mollusca,Philinopsis,S,-14,145,P,70,NA
Siphopteron pohnpei,Sagaminopteron pohnpei,Gastropteridae,Cephalaspidea,Gastropoda,Mollusca,Sagaminopteron,S,-14,145,P,71,NA
Siphopteron sp.,Siphopteron,Gastropteridae,Cephalaspidea,Gastropoda,Mollusca,Siphopteron,S,-14,145,P,120,NA
Siphopteron quadrispinos,Siphopteron quadrispinosum,Gastropteridae,Cephalaspidea,Gastropoda,Mollusca,Siphopteron,S,-14,145,P,76,NA
Echinaster echinophorus,Echinaster echinophorus,Echinasteridae,Spinulodisa,Asteroidea,Echinodermata,Echinaster,N,30,-83,L,860,6
Echinaster echinophorus,Echinaster echinophorus,Echinasteridae,Spinulodisa,Asteroidea,Echinodermata,Echinaster,N,30,-83,L,860,6
Astreopora myriophthalma,Astreopora myriophthalma,Acroporidae,Scleractinia,Anthozoa,Cnidaria,Astreopora,S,-18,146,L,538,NA
Favites halicora,Favites halicora,Faviidae,Scleractinia,Anthozoa,Cnidaria,Favites,S,-18,146,L,401,NA
Goniastrea retiformis,Goniastrea retiformis,Faviidae,Scleractinia,Anthozoa,Cnidaria,Goniastrea,S,-18,146,L,371,NA
Montipora digitata,Montipora digitata,Acroporidae,Scleractinia,Anthozoa,Cnidaria,Montipora,S,-18,146,L,337,NA
Pachyseris speciosa,Pachyseris speciosa,Agariciidae,Scleractinia,Anthozoa,Cnidaria,Pachyseris,S,-18,146,L,368,NA
Sabella (Demonax) media,Parasabella media,Sabellidae,Sabellida,Polychaeta,Annelida,Parasabella,N,48.537522,-123,L,200,NA
Coscinasterias calamaria,Coscinasterias calamaria,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Coscinasterias,S,-36,174,P,150,27
Stichaster australis,Stichaster australis,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Stichaster,S,-40,174,P,130,38
Brisinga endecacnemos,Brisinga endecacnemos,Brisingidae,Forcipulatida,Asteroidea,Echinodermata,Brisinga,N,57,-10,L,1250,NA
Brisingella coronata,Hymenodiscus coronata,Brisingidae,Forcipulatida,Asteroidea,Echinodermata,Hymenodiscus,N,51,-13,L,1250,NA
Holothuria fuscogilva,Holothuria (Microthele) fuscogilva,Holothuriidae,Aspidochirotida,Holothuroid,Echinodermata,Holothuria,S,-9,159,P,151.7,NA
Spirorbis granulatus,Bushiella (Jugaria) granulata,Spirorbidae,Sabellida,Polychaeta,Annelida,Bushiella,N,59.509242,10,L,140,NA
Branchiomma nigromaculat,Branchiomma nigromaculatum,Sabellidae,Sabellida,Polychaeta,Annelida,Branchiomma,N,21,-157,L,135,NA
Fabricia sabella,Fabricia stellaris,Sabellidae,Sabellida,Polychaeta,Annelida,Fabricia,N,55.801281,12,L,210,NA
Strongylocentrotus purpu,Strongylocentrotus purpuratus,Strongylocentro,Echinoida,Echinoidea,Echinodermata,Strongylocentrotus,N,49,-125,P,82,51
Flabelligera pennigera,Flabelligera pennigera,Flabelligeridae,Terebellida,Polychaeta,Annelida,Flabelligera,S,-49,69.647827,L,600,NA
Platynereis magalhaensis,Platynereis magalhaensis,Nereidae,Phyllodocida,Polychaeta,Annelida,Platynereis,S,-49,69.647827,L,450,NA
Melibe leonina,Melibe leonina,Tethydidae,Nudibranchia,Gastropoda,Mollusca,Melibe,N,49,-125,P,90,38
Mediaster aequalis,Mediaster aequalis,Goniasteridae,Valvatida,Asteroidea,Echinodermata,Mediaster,N,50,-122,L,1100,33
Bembicium nanum,Bembicium nanum,Littorinidae,,Gastropoda,Mollusca,Bembicium,S,-33,152,P,100,NA
Bembicium melanostoma,Bembicium melanostoma,Littorinidae,,Gastropoda,Mollusca,Bembicium,S,-34,138,L,200,NA
Pseudopolydora paucibran,Pseudopolydora paucibranchiata,Spionidae,Spionida,Polychaeta,Annelida,Pseudopolydora,N,38.24627,-123,P,100,NA
Pseudopolydora kempi,Pseudopolydora kempi,Spionidae,Spionida,Polychaeta,Annelida,Pseudopolydora,N,38.24627,-123,L,165,2
Polydora concharum,Dipolydora concharum,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,43.691708,-70,P,220,NA
Polydora quarilobata,Dipolydora quadrilobata,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,43.691708,-70,P,190,NA
Polydora websteri,Polydora websteri,Spionidae,Spionida,Polychaeta,Annelida,Polydora,N,43.691708,-70,P,140,NA
Polydora aggregata,Polydora aggregata,Spionidae,Spionida,Polychaeta,Annelida,Polydora,N,43.691708,-70,P,120,NA
Chrysopetalum bellis,Chrysopetalum,Chrysopetalidae,Phyllodocida,Polychaeta,Annelida,Chrysopetalum,N,38.24627,-123,P,70,NA
Gyptis brunnea,Gyptis brunnea,Hesionidae,Phyllodocida,Polychaeta,Annelida,Gyptis,N,38.24627,-123,L,100,NA
Halosydna brevisetosa,Halosydna brevisetosa,Polynoidae,Phyllodocida,Polychaeta,Annelida,Halosydna,N,38.24627,-123,P,110,NA
Northria elegans,Onuphis elegans,Onuphidae,Eunicida,Polychaeta,Annelida,Onuphis,N,38.24627,-123,L,230,NA
Anaitides williamsi,Phyllodoce williamsi,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Phyllodoce,N,38.24627,-123,P,88,NA
Leitoscoloplos pugettens,Leitoscoloplos pugettensis,Orbiniidae,,Polychaeta,Annelida,Leitoscoloplos,N,38.24627,-123,L,200,NA
Scoloplos acmeceps,Scoloplos acmeceps,Orbiniidae,,Polychaeta,Annelida,Scoloplos,N,38.24627,-123,L,200,NA
Aurospiro dibranchiata,Aurospio dibranchiata,Spionidae,Spionida,Polychaeta,Annelida,Aurospio,N,34.558597,-76,P,85,NA
Pholoe anoculata,Pholoe anoculata,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Pholoe,N,55.372868,-1,L,190,NA
Marenzelleria viridis,Marenzelleria viridis,Spionidae,Spionida,Polychaeta,Annelida,Marenzelleria,N,54,12,P,175,12
Dasybranchus caducus,Dasybranchus caducus,Capitellidae,,Polychaeta,Annelida,Dasybranchus,N,25,-79,L,95,NA
Axiothella mucosa,Clymenella mucosa,Maldanidae,,Polychaeta,Annelida,Clymenella,N,34.716835,-76,L,255,NA
Crepidula fornicata,Crepidula fornicata,Calyptraeidae,Neotaenioglossa,Gastropoda,Mollusca,Crepidula,N,48,-3,P,170,NA
Parvulastra parvivipara,Parvulastra parvivipara,Asterinidae,Valvatida,Asteroidea,Echinodermata,Parvulastra,S,-34,135,L,135,NA
Parvulastra vivipara,Parvulastra vivipara,Asterinidae,Valvatida,Asteroidea,Echinodermata,Parvulastra,S,-42,147,L,148,NA
Lumbrinereis japonica,Lumbrineris japonica,Lumbrinereidae,Eunicida,Polychaeta,Annelida,Lumbrineris,N,42.650374,131,L,310,NA
Sabellastarte spectabili,Sabellastarte spectabilis,Sabellidae,Sabellida,Polychaeta,Annelida,Sabellastarte,N,21,-157,L,175,6.67
Cryptasterina pentagona,Cryptasterina pentagona,Asterinidae,Spinulosida,Asteroidea,Echinodermata,Cryptasterina,S,-19,146,L,413,6
Aplysia californica,Aplysia californica,Anaspidea,Anaspidea,Gastropoda,Mollusca,Aplysia,N,33,-118,P,85,35
Hydroides elegans,Hydroides elegans,Serpulidae,Sabellida,Polychaeta,Annelida,Hydroides,N,21,-157,P,45,4.5
