Site,Exposure,date,year,time,depth,transect,Family,Functional Group,species,length,number,a,b,Biomass,Total Biomass(kg)
Big Vickis,Sheltered,1/8/15,2015,12:50,deep,2,Acanthuridae,Grazer,aca.aura,20,1,0.028,2.983,212.8778662,0.212877866
Resort,Sheltered,9/24/11,2011,1543,shallow,1,Acanthuridae,Grazer,aca.aura,26,1,0.028,2.983,465.6113178,0.465611318
Big Vickis,Sheltered,9/22/11,2011,753,deep,1,Acanthuridae,Grazer,aca.bloc,25,1,0.0251,3.032,434.7382249,0.434738225
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,30,1,0.0251,3.032,755.6233429,0.755623343
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,33,1,0.0251,3.032,1008.806768,1.008806768
Big Vickis,Sheltered,9/22/11,2011,809,deep,2,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Big Vickis,Sheltered,9/22/11,2011,809,deep,2,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Big Vickis,Sheltered,9/22/11,2011,809,deep,2,Acanthuridae,Grazer,aca.bloc,35,1,0.0251,3.032,1205.835407,1.205835407
Big Vickis,Sheltered,9/22/11,2011,849,deep,3,Acanthuridae,Grazer,aca.bloc,35,1,0.0251,3.032,1205.835407,1.205835407
Big Vickis,Sheltered,9/22/11,2011,809,deep,2,Acanthuridae,Grazer,aca.bloc,38,1,0.0251,3.032,1547.310905,1.547310905
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,3,Acanthuridae,Grazer,aca.bloc,23,1,0.0251,3.032,337.6233854,0.337623385
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,3,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,3,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,3,Acanthuridae,Grazer,aca.bloc,24,1,0.0251,3.032,384.1264444,0.384126444
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,3,Acanthuridae,Grazer,aca.bloc,26,1,0.0251,3.032,489.6355165,0.489635516
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Big Vickis,Sheltered,9/22/11,2011,9:38,shallow,1,Acanthuridae,Grazer,aca.bloc,32,1,0.0251,3.032,918.94275,0.91894275
Big Vickis,Sheltered,1/8/15,2015,12:35,deep,1,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Big Vickis,Sheltered,1/8/15,2015,12:50,deep,2,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Big Vickis,Sheltered,1/8/15,2015,12:50,deep,2,Acanthuridae,Grazer,aca.bloc,25,2,0.0251,3.032,434.7382249,0.86947645
Big Vickis,Sheltered,1/8/15,2015,14:40,shallow,1,Acanthuridae,Grazer,aca.bloc,17,1,0.0251,3.032,135.0189888,0.135018989
Big Vickis,Sheltered,1/8/15,2015,15:47,shallow,3,Acanthuridae,Grazer,aca.bloc,27,5,0.0251,3.032,548.9953354,2.744976677
Blue Lagoon,Lagoon,9/25/11,2011,752,deep,1,Acanthuridae,Grazer,aca.bloc,15,1,0.0251,3.032,92.38094892,0.092380949
Blue Lagoon,Lagoon,9/25/11,2011,9:33,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Blue Lagoon,Lagoon,9/25/11,2011,9:33,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Blue Lagoon,Lagoon,9/25/11,2011,9:33,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Blue Lagoon,Lagoon,9/25/11,2011,9:33,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Blue Lagoon,Lagoon,9/25/11,2011,9:33,shallow,2,Acanthuridae,Grazer,aca.bloc,28,1,0.0251,3.032,612.9949158,0.612994916
Blue Lagoon,Lagoon,1/14/15,2015,12:51,shallow,1,Acanthuridae,Grazer,aca.bloc,14,1,0.0251,3.032,74.94349207,0.074943492
Blue Lagoon,Lagoon,1/14/15,2015,12:51,shallow,1,Acanthuridae,Grazer,aca.bloc,20,1,0.0251,3.032,221.0022363,0.221002236
Blue Lagoon,Lagoon,1/14/15,2015,12:58,shallow,2,Acanthuridae,Grazer,aca.bloc,18,62,0.0251,3.032,160.5683546,9.955237984
Bommie Bay,Oblique,1/10/15,2015,8:07,deep,1,Acanthuridae,Grazer,aca.bloc,14,1,0.0251,3.032,74.94349207,0.074943492
Bommie Bay,Oblique,1/10/15,2015,8:07,deep,1,Acanthuridae,Grazer,aca.bloc,15,3,0.0251,3.032,92.38094892,0.277142847
Bommie Bay,Oblique,1/10/15,2015,8:18,deep,2,Acanthuridae,Grazer,aca.bloc,25,2,0.0251,3.032,434.7382249,0.86947645
Bommie Bay,Oblique,1/10/15,2015,8:18,deep,2,Acanthuridae,Grazer,aca.bloc,26,2,0.0251,3.032,489.6355165,0.979271033
Bommie Bay,Oblique,1/10/15,2015,8:18,deep,2,Acanthuridae,Grazer,aca.bloc,27,1,0.0251,3.032,548.9953354,0.548995335
Bommie Bay,Oblique,1/10/15,2015,8:53,deep,3,Acanthuridae,Grazer,aca.bloc,21,7,0.0251,3.032,256.2374615,1.79366223
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,31,1,0.0251,3.032,834.6076809,0.834607681
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Bommie Bay,Oblique,9/21/11,2011,1436,shallow,1,Acanthuridae,Grazer,aca.bloc,34,1,0.0251,3.032,1104.378131,1.104378131
Bommie Bay,Oblique,1/10/15,2015,10:59,shallow,3,Acanthuridae,Grazer,aca.bloc,16,2,0.0251,3.032,112.3480422,0.224696084
Coconut,Exposed,9/26/11,2011,8:09,deep,2,Acanthuridae,Grazer,aca.bloc,9,1,0.0251,3.032,19.63075532,0.019630755
Coconut,Exposed,9/26/11,2011,8:09,deep,2,Acanthuridae,Grazer,aca.bloc,9,1,0.0251,3.032,19.63075532,0.019630755
Coconut,Exposed,9/26/11,2011,8:09,deep,1,Acanthuridae,Grazer,aca.bloc,12,1,0.0251,3.032,46.96250556,0.046962506
Coconut,Exposed,9/26/11,2011,8:09,deep,1,Acanthuridae,Grazer,aca.bloc,12,1,0.0251,3.032,46.96250556,0.046962506
Coconut,Exposed,9/26/11,2011,8:09,deep,2,Acanthuridae,Grazer,aca.bloc,12,1,0.0251,3.032,46.96250556,0.046962506
Coconut,Exposed,9/26/11,2011,8:09,deep,2,Acanthuridae,Grazer,aca.bloc,12,1,0.0251,3.032,46.96250556,0.046962506
Coconut,Exposed,9/26/11,2011,8:09,deep,1,Acanthuridae,Grazer,aca.bloc,13,1,0.0251,3.032,59.86182675,0.059861827
Coconut,Exposed,9/26/11,2011,8:09,deep,1,Acanthuridae,Grazer,aca.bloc,13,1,0.0251,3.032,59.86182675,0.059861827
Coconut,Exposed,9/26/11,2011,8:09,deep,2,Acanthuridae,Grazer,aca.bloc,13,1,0.0251,3.032,59.86182675,0.059861827
Coconut,Exposed,9/26/11,2011,8:09,deep,2,Acanthuridae,Grazer,aca.bloc,14,1,0.0251,3.032,74.94349207,0.074943492
Coconut,Exposed,9/26/11,2011,8:09,deep,1,Acanthuridae,Grazer,aca.bloc,15,1,0.0251,3.032,92.38094892,0.092380949
Coconut,Exposed,9/26/11,2011,8:09,deep,3,Acanthuridae,Grazer,aca.bloc,18,1,0.0251,3.032,160.5683546,0.160568355
Coconut,Exposed,9/26/11,2011,8:09,deep,3,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
Coconut,Exposed,9/26/11,2011,8:09,deep,3,Acanthuridae,Grazer,aca.bloc,19,1,0.0251,3.032,189.1710348,0.189171035
